method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,0,completed,0.7611464858055115,4,64,GAT,RELU,ADD,ADAM,0.0003959383541077935,1e-05,16,44.774497,,0.07114993742249096
Optuna-tpe,1,completed,0.8090649843215942,4,64,GATED,RELU,ADD,ADAM,0.0006307264735516829,1e-05,32,18.348508,,0.23566962999028634
Optuna-tpe,2,completed,0.6977686882019043,5,64,GATED,RELU,ADD,ADAM,0.000897404480420479,1e-05,32,18.430589,,0.02561000853362219
Optuna-tpe,3,completed,1.434053897857666,3,128,GAT,TANH,ADD,ADAM,0.0015562092234388005,1e-05,32,5.515411,,0.10672263065778606
Optuna-tpe,4,completed,2.007516384124756,5,128,GAT,TANH,MEAN,ADAM,0.0027933868289627367,1e-05,16,32.21371,,0.22899194482252153
Optuna-tpe,5,completed,0.9275563955307007,5,128,GAT,RELU,ADD,ADAM,0.0011670898611477497,1e-05,16,20.232163,,0.22502403077263203
Optuna-tpe,6,completed,1.1291805505752563,4,64,GAT,TANH,ADD,ADAM,0.0018176185845173672,1e-05,32,8.591005,,0.09203392580125272
Optuna-tpe,7,completed,0.7301803827285767,3,64,GATED,RELU,ADD,ADAM,0.0006346649074701439,1e-05,32,13.672274,,0.031912914275587456
Optuna-tpe,8,completed,0.6772423386573792,3,128,GATED,TANH,MEAN,ADAM,0.0013736267239521586,1e-05,16,16.991368,,0.18822815855325947
Optuna-tpe,9,completed,0.7392706274986267,5,128,GATED,RELU,MEAN,ADAM,0.000476450477456315,1e-05,16,21.874981,,0.09484663877227417
Optuna-tpe,10,completed,0.877480685710907,5,128,GATED,TANH,MEAN,ADAM,0.000805590581061913,1e-05,16,21.91119,,0.2148713785307568
Optuna-tpe,11,completed,0.5980245471000671,5,64,GATED,RELU,ADD,ADAM,0.0028361290722117675,1e-05,32,17.354077,,0.06044299381227308
Optuna-tpe,12,completed,0.9121376276016235,5,128,GATED,RELU,ADD,ADAM,0.0029172049107924715,1e-05,16,19.253403,,0.16294760161756838
Optuna-tpe,13,completed,0.9266473054885864,4,64,GAT,RELU,ADD,ADAM,0.0014155516613755155,1e-05,32,8.562749,,0.23724876164076886
Optuna-tpe,14,completed,2.1897664070129395,4,128,GAT,TANH,ADD,ADAM,0.0020772789751100544,1e-05,16,13.433128,,0.20872988162594877
Optuna-tpe,15,completed,0.9916894435882568,5,64,GAT,TANH,MEAN,ADAM,0.0011898031423737362,1e-05,16,40.334922,,0.04795476789636752
Optuna-tpe,16,completed,0.8543018698692322,4,64,GAT,TANH,ADD,ADAM,0.0009183031780715345,1e-05,16,39.462689,,0.013851412230166588
Optuna-tpe,17,completed,1.0470309257507324,3,128,GAT,RELU,ADD,ADAM,0.0026090993855571627,1e-05,16,10.686555,,0.08143299626008688
Optuna-tpe,18,completed,0.6785976886749268,3,128,GAT,RELU,ADD,ADAM,0.0014589297992975688,1e-05,32,26.453494,,0.1617621590175405
Optuna-tpe,19,completed,1.762673258781433,3,128,GAT,TANH,ADD,ADAM,0.0023768688321530204,1e-05,16,15.797131,,0.18164833069655198
Optuna-tpe,20,completed,0.5203880071640015,4,64,GATED,TANH,MEAN,ADAM,0.001937274722766479,1e-05,32,15.131002,,0.12768839024357947
Optuna-tpe,21,completed,0.5639932751655579,4,64,GATED,TANH,MEAN,ADAM,0.0019540935238773582,1e-05,32,12.333419,,0.12784400522763478
Optuna-tpe,22,completed,0.4988400340080261,4,64,GATED,TANH,MEAN,ADAM,0.001925065263860949,1e-05,32,17.964959,,0.1263279869384054
Optuna-tpe,23,completed,0.46720167994499207,4,64,GATED,TANH,MEAN,ADAM,0.0018511716059402832,1e-05,32,19.790429,,0.13461661110972922
Optuna-tpe,24,completed,0.5289730429649353,4,64,GATED,TANH,MEAN,ADAM,0.0018322740953435111,1e-05,32,12.339553,,0.130843539188073
Optuna-tpe,25,completed,0.6146190166473389,4,64,GATED,TANH,MEAN,ADAM,0.002222422061702605,1e-05,32,9.550669,,0.14677511036278607
Optuna-tpe,26,completed,0.47079578042030334,4,64,GATED,TANH,MEAN,ADAM,0.001139752254413322,1e-05,32,14.151526,,0.11246259411716605
Optuna-tpe,27,completed,0.7617594003677368,4,64,GATED,TANH,MEAN,ADAM,0.0012001137965533667,1e-05,32,10.487293,,0.10776763120141784
Optuna-tpe,28,completed,0.5188364386558533,4,64,GATED,TANH,MEAN,ADAM,0.0016797149642529784,1e-05,32,12.334457,,0.15148279127292527
Optuna-tpe,29,completed,1.1430150270462036,4,64,GATED,TANH,MEAN,ADAM,0.00038274738137415964,1e-05,32,9.522886,,0.11343990030739622
Optuna-tpe,30,completed,0.576426088809967,4,64,GATED,TANH,MEAN,ADAM,0.001079023164316977,1e-05,32,16.020674,,0.07151599209837489
Optuna-tpe,31,completed,0.636233925819397,4,64,GATED,TANH,MEAN,ADAM,0.0016307406290418229,1e-05,32,9.537595,,0.15135401045243863
Optuna-tpe,32,completed,0.5313828587532043,4,64,GATED,TANH,MEAN,ADAM,0.0016383450136081613,1e-05,32,12.322989,,0.14202453949019872
Optuna-tpe,33,completed,0.5311723351478577,4,64,GATED,TANH,MEAN,ADAM,0.0007431844151031501,1e-05,32,15.067506,,0.1661847184417416
Optuna-tpe,34,completed,0.8752934336662292,4,64,GATED,TANH,MEAN,ADAM,0.00032588719339606253,1e-05,32,16.907603,,0.17791934116107527
Optuna-tpe,35,completed,0.9706124663352966,4,64,GATED,TANH,MEAN,ADAM,0.0024210389325650416,1e-05,32,9.501525,,0.19624807707126193
Optuna-tpe,36,completed,0.6267430186271667,4,64,GATED,TANH,MEAN,ADAM,0.0009988311683020448,1e-05,32,13.187025,,0.11920012701115806
Optuna-tpe,37,completed,0.5699889659881592,4,64,GATED,TANH,MEAN,ADAM,0.0016819691862880466,1e-05,32,14.120911,,0.09525657460506798
Optuna-tpe,38,completed,0.669266939163208,4,64,GATED,TANH,MEAN,ADAM,0.001295603101407933,1e-05,32,8.552518,,0.1397620134515849
Optuna-tpe,39,completed,0.5575982332229614,3,64,GATED,TANH,MEAN,ADAM,0.0015207641291619103,1e-05,32,10.92368,,0.24892134563758536
Optuna-tpe,40,completed,0.8249973058700562,3,64,GATED,TANH,MEAN,ADAM,0.0021678621340333395,1e-05,32,7.075819,,0.10593571734288214
Optuna-tpe,41,completed,0.5364935994148254,4,64,GATED,TANH,MEAN,ADAM,0.0018136978460049278,1e-05,32,15.925274,,0.13045903652447904
Optuna-tpe,42,completed,0.6851887702941895,4,64,GATED,TANH,MEAN,ADAM,0.0018894001999829454,1e-05,32,10.399704,,0.12129769409722947
Optuna-tpe,43,completed,0.6120284199714661,4,64,GATED,TANH,MEAN,ADAM,0.0012921530698688593,1e-05,32,10.379715,,0.15437591381492113
Optuna-tpe,44,completed,0.4993022084236145,4,64,GATED,TANH,MEAN,ADAM,0.0024866151918774217,1e-05,32,10.334626,,0.08493670479610844
Optuna-tpe,45,completed,0.5633909702301025,4,64,GATED,TANH,MEAN,ADAM,0.002584005191064599,1e-05,32,11.294991,,0.08345832888684107
Optuna-tpe,46,completed,0.5449108481407166,4,64,GATED,TANH,MEAN,ADAM,0.0022725043686016655,1e-05,32,15.893431,,0.050732712642120995
Optuna-tpe,47,completed,0.9171046018600464,5,64,GATED,TANH,MEAN,ADAM,0.000803269895613854,1e-05,32,9.973295,,0.09396243778099536
Optuna-tpe,48,completed,0.6167266964912415,4,64,GATED,TANH,MEAN,ADAM,0.0006198256417829866,1e-05,32,17.7395,,0.1043341545624015
Optuna-tpe,49,completed,0.5023131370544434,5,64,GATED,RELU,MEAN,ADAM,0.002104678240080457,1e-05,32,14.312763,,0.07135998436999154
Optuna-tpe,50,completed,0.8487921953201294,5,64,GATED,RELU,MEAN,ADAM,0.0026700463556548256,1e-05,32,6.743607,,0.06898753720015295
Optuna-tpe,51,completed,0.575375497341156,5,64,GATED,RELU,MEAN,ADAM,0.002067974986709706,1e-05,32,13.239197,,0.034701774363300505
Optuna-tpe,52,completed,0.5604051947593689,4,64,GATED,RELU,MEAN,ADAM,0.00296258710446008,1e-05,32,11.302333,,0.0810254930640532
Optuna-tpe,53,completed,0.5451164245605469,4,64,GATED,RELU,MEAN,ADAM,0.0017283996097728852,1e-05,32,12.242385,,0.05682095619944755
Optuna-tpe,54,completed,0.4715299606323242,5,64,GATED,RELU,MEAN,ADAM,0.002492821248623535,1e-05,32,15.394961,,0.13674519456947967
Optuna-tpe,55,completed,0.705136775970459,5,128,GATED,RELU,MEAN,ADAM,0.002435208448528545,1e-05,32,8.989232,,0.13714725936609468
Optuna-tpe,56,completed,0.7178319692611694,5,64,GATED,RELU,MEAN,ADAM,0.0020826948890802673,1e-05,32,8.91309,,0.09922569316652084
Optuna-tpe,57,completed,0.891036868095398,5,64,GAT,RELU,MEAN,ADAM,0.0026130296851604134,1e-05,16,40.189025,,0.08691769471079264
Optuna-tpe,58,completed,0.4906463325023651,5,64,GATED,RELU,MEAN,ADAM,0.002375133185117565,1e-05,32,25.164865,,0.11738133653944995
Optuna-tpe,59,completed,0.8193855881690979,5,128,GATED,RELU,ADD,ADAM,0.002760790943497382,1e-05,32,10.955253,,0.11555831610947777
Optuna-tpe,60,completed,0.8611122965812683,5,64,GAT,RELU,MEAN,ADAM,0.00233598990432436,1e-05,16,28.229836,,0.11411591853582527
Optuna-tpe,61,completed,0.5416718125343323,5,64,GATED,RELU,MEAN,ADAM,0.002008442831503233,1e-05,32,13.251016,,0.07345353518119468
Optuna-tpe,62,completed,0.5748443007469177,5,64,GATED,RELU,MEAN,ADAM,0.0024640647357953294,1e-05,32,19.76196,,0.13455203247196162
Optuna-tpe,63,completed,0.5728223323822021,5,64,GATED,RELU,MEAN,ADAM,0.0022169388762622536,1e-05,32,13.249804,,0.12167759676862328
Optuna-tpe,64,completed,0.7923961281776428,5,64,GATED,RELU,MEAN,ADAM,0.002987426277641076,1e-05,32,7.821011,,0.16850111209018098
Optuna-tpe,65,completed,0.5952032208442688,5,64,GATED,RELU,MEAN,ADAM,0.0015448690807096587,1e-05,32,14.319869,,0.10829787741167081
Optuna-tpe,66,completed,0.7933928370475769,5,64,GATED,RELU,MEAN,ADAM,0.0005531827442226909,1e-05,32,14.301495,,0.14352126528510686
Optuna-tpe,67,completed,0.692582368850708,4,64,GATED,RELU,ADD,ADAM,0.001800057835052321,1e-05,32,12.832018,,0.10103004730402844
Optuna-tpe,68,completed,0.6485645174980164,4,128,GATED,RELU,MEAN,ADAM,0.0019247539303794948,1e-05,32,15.17018,,0.1577076251988697
Optuna-tpe,69,completed,0.6823778748512268,4,64,GATED,TANH,MEAN,ADAM,0.0013925578516186287,1e-05,16,28.035598,,0.0632444818930928
Optuna-tpe,70,completed,0.6788060665130615,5,64,GAT,RELU,MEAN,ADAM,0.002784183425000557,1e-05,32,20.476802,,0.09083488344785479
Optuna-tpe,71,completed,0.6439849734306335,4,64,GATED,TANH,MEAN,ADAM,0.0021422042559555324,1e-05,32,12.46968,,0.1511268752975085
Optuna-tpe,72,completed,0.7986790537834167,4,64,GATED,TANH,MEAN,ADAM,0.002533893834323547,1e-05,32,5.760671,,0.12623078854067787
Optuna-tpe,73,completed,0.4556436836719513,4,64,GATED,TANH,MEAN,ADAM,0.0017285972901402193,1e-05,32,15.923452,,0.1755841017038643
Optuna-tpe,74,completed,0.6258313655853271,4,64,GATED,TANH,MEAN,ADAM,0.0010305152073487502,1e-05,32,11.266548,,0.19930519482216172
Optuna-tpe,75,completed,0.6172366142272949,4,64,GATED,TANH,MEAN,ADAM,0.0023108697345843314,1e-05,32,11.286764,,0.17333415677913905
Optuna-tpe,76,completed,0.44632193446159363,4,64,GATED,TANH,MEAN,ADAM,0.0014795077108159845,1e-05,32,14.071667,,0.07804153607428616
Optuna-tpe,77,completed,0.8106486797332764,4,64,GATED,TANH,ADD,ADAM,0.0014985269636420232,1e-05,32,10.994893,,0.1888514961988215
Optuna-tpe,78,completed,0.5071318745613098,4,64,GATED,TANH,MEAN,ADAM,0.001293254807377781,1e-05,32,12.208387,,0.11087541291961166
Optuna-tpe,79,completed,0.6759920120239258,4,64,GATED,TANH,MEAN,ADAM,0.0016159539384198905,1e-05,32,9.454929,,0.07925747934472269
Optuna-tpe,80,completed,0.5528308749198914,4,128,GATED,TANH,MEAN,ADAM,0.0017566543431995732,1e-05,32,12.304612,,0.1327227872746292
Optuna-tpe,81,completed,0.6457166075706482,4,64,GATED,TANH,MEAN,ADAM,0.001968548852777043,1e-05,32,8.609306,,0.0035151685855270287
Optuna-tpe,82,completed,0.6319586634635925,4,64,GATED,TANH,MEAN,ADAM,0.0011525786925885746,1e-05,32,9.440431,,0.0887427563529567
Optuna-tpe,83,completed,0.599189281463623,4,64,GATED,TANH,MEAN,ADAM,0.0018708822371328983,1e-05,32,10.346322,,0.2232170103411779
Optuna-tpe,84,completed,0.5362169742584229,4,64,GATED,TANH,MEAN,ADAM,0.0008641833795430664,1e-05,32,12.198071,,0.04744544351370655
Optuna-tpe,85,completed,0.7108566164970398,4,64,GATED,TANH,MEAN,ADAM,0.002031157848892266,1e-05,32,7.584713,,0.06222813385489709
Optuna-tpe,86,completed,0.6037806272506714,4,64,GATED,TANH,MEAN,ADAM,0.002245442279671927,1e-05,32,12.183692,,0.12484173036460745
Optuna-tpe,87,completed,0.9952376484870911,4,64,GAT,TANH,MEAN,ADAM,0.0014700370944212373,1e-05,16,26.479215,,0.09793348287074237
Optuna-tpe,88,completed,0.6453550457954407,4,64,GATED,RELU,MEAN,ADAM,0.001615528119368011,1e-05,32,8.505756,,0.11766162970103486
Optuna-tpe,89,completed,0.5514759421348572,3,64,GATED,TANH,MEAN,ADAM,0.0013482938870317412,1e-05,32,14.666976,,0.07496373696753443
Optuna-tpe,90,completed,0.766941487789154,5,64,GATED,TANH,ADD,ADAM,0.002156544659501631,1e-05,32,11.822557,,0.14444502662947495
Optuna-tpe,91,completed,0.9172928929328918,3,64,GATED,TANH,MEAN,ADAM,0.0012357642730230678,1e-05,32,7.031884,,0.13801425399024647
Optuna-tpe,92,completed,0.5921066403388977,4,64,GATED,TANH,MEAN,ADAM,0.0011443785806739687,1e-05,32,10.328382,,0.1083354236728868
Optuna-tpe,93,completed,0.697279155254364,4,64,GATED,TANH,MEAN,ADAM,0.0014229064918194288,1e-05,32,9.441086,,0.110289103510557
Optuna-tpe,94,completed,0.5563643574714661,4,64,GATED,TANH,MEAN,ADAM,0.0011053283526464037,1e-05,32,13.074119,,0.10327319392219472
Optuna-tpe,95,completed,0.663575291633606,5,64,GATED,TANH,MEAN,ADAM,0.0012982701397142645,1e-05,32,15.341894,,0.12406038647249656
Optuna-tpe,96,completed,0.5079660415649414,4,64,GATED,RELU,MEAN,ADAM,0.0009655513201411668,1e-05,32,19.573961,,0.08687528332348075
Optuna-tpe,97,completed,0.4734133780002594,5,64,GATED,TANH,MEAN,ADAM,0.0012401383822526965,1e-05,32,15.300612,,0.11487869581650442
Optuna-tpe,98,completed,0.775141179561615,5,128,GATED,RELU,MEAN,ADAM,0.001736427813172813,1e-05,32,11.103656,,0.054357869401416375
Optuna-tpe,99,completed,0.6918038725852966,5,64,GATED,TANH,MEAN,ADAM,0.0024479887974613052,1e-05,32,11.013665,,0.14859242936043582
Optuna-tpe,100,completed,0.7295727729797363,5,64,GAT,TANH,MEAN,ADAM,0.0012164505917040469,1e-05,16,51.427712,,0.06915118714029349
Optuna-tpe,101,completed,0.6170341372489929,5,64,GATED,TANH,MEAN,ADAM,0.0013447293447007987,1e-05,32,11.036743,,0.11379690441401072
Optuna-tpe,102,completed,0.4695264399051666,5,64,GATED,TANH,MEAN,ADAM,0.0012574098883280302,1e-05,32,20.709423,,0.11916190615125766
Optuna-tpe,103,completed,0.4195837676525116,5,64,GATED,TANH,MEAN,ADAM,0.0015571141805039467,1e-05,32,28.282747,,0.13095624325181635
Optuna-tpe,104,completed,0.5603673458099365,5,64,GATED,TANH,MEAN,ADAM,0.0015944604180508184,1e-05,32,10.999541,,0.11891819264224553
Optuna-tpe,105,completed,0.48413506150245667,5,64,GATED,TANH,MEAN,ADAM,0.001060386332599595,1e-05,32,15.361978,,0.13149772844121935
Optuna-tpe,106,completed,0.739875853061676,5,64,GATED,TANH,MEAN,ADAM,0.0011022927776887367,1e-05,32,8.878052,,0.130084510953598
Optuna-tpe,107,completed,0.916802704334259,5,64,GATED,TANH,MEAN,ADAM,0.0010499395725720665,1e-05,32,9.939347,,0.1353646925720917
Optuna-tpe,108,completed,0.650549054145813,5,64,GATED,TANH,MEAN,ADAM,0.0009289355516150802,1e-05,32,14.300682,,0.13043231065807134
Optuna-tpe,109,completed,0.9219133257865906,5,64,GATED,TANH,ADD,ADAM,0.0008806784396183267,1e-05,32,8.713032,,0.1582183223982324
Optuna-tpe,110,completed,0.5136346817016602,5,64,GATED,TANH,MEAN,ADAM,0.0012540927857592377,1e-05,32,14.307294,,0.14112224477511986
Optuna-tpe,111,completed,1.1054283380508423,5,64,GATED,TANH,MEAN,ADAM,0.00170124196764295,1e-05,32,7.814531,,0.12342119553086785
Optuna-tpe,112,completed,0.5566251277923584,5,64,GATED,TANH,MEAN,ADAM,0.001538421297034956,1e-05,32,14.26763,,0.09583622372245679
Optuna-tpe,113,completed,0.5604660511016846,5,64,GATED,TANH,MEAN,ADAM,0.001178383612842476,1e-05,32,14.510051,,0.11611705549903352
Optuna-tpe,114,completed,0.5671253800392151,5,64,GATED,TANH,MEAN,ADAM,0.001424984953764467,1e-05,32,15.376575,,0.12818628201796783
Optuna-tpe,115,completed,0.5356033444404602,5,64,GATED,TANH,MEAN,ADAM,0.0027334142786565522,1e-05,32,19.714853,,0.14599914241973558
Optuna-tpe,116,completed,0.5159177780151367,5,64,GATED,TANH,MEAN,ADAM,0.001811168486469728,1e-05,32,16.475737,,0.10381855999034788
