method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,0,completed,0.5056496858596802,5,64,GATED,TANH,MEAN,ADAM,0.0008505208253701025,1e-05,16,40.397991,,0.14783209288771934
Optuna-tpe,1,completed,0.8752101063728333,3,128,GAT,RELU,MEAN,ADAM,0.0029029922009226597,1e-05,16,31.897777,,0.0012233594428203154
Optuna-tpe,2,completed,1.0776846408843994,5,64,GAT,TANH,ADD,ADAM,0.00046149035588523854,1e-05,16,32.05903,,0.06670737336024068
Optuna-tpe,3,completed,0.8122200965881348,4,64,GATED,RELU,ADD,ADAM,0.0005119820912424962,1e-05,16,20.32999,,0.07496310947482518
Optuna-tpe,4,completed,0.704597532749176,4,64,GATED,TANH,ADD,ADAM,0.001246690673714607,1e-05,32,13.93569,,0.14512390568013925
Optuna-tpe,5,completed,1.3775031566619873,5,64,GAT,TANH,MEAN,ADAM,0.0014039083791479398,1e-05,16,44.346655,,0.22848983463156106
Optuna-tpe,6,completed,0.6880102753639221,3,64,GATED,TANH,ADD,ADAM,0.0028731445330000614,1e-05,16,19.752333,,0.026111997202225373
Optuna-tpe,7,completed,1.2145060300827026,3,128,GATED,TANH,MEAN,ADAM,0.0017368126655296825,1e-05,16,7.936752,,0.2192001381275961
Optuna-tpe,8,completed,0.5783380270004272,5,64,GATED,RELU,MEAN,ADAM,0.0004619908494639786,1e-05,16,37.676218,,0.0675161890412059
Optuna-tpe,9,completed,0.8126379251480103,5,128,GATED,RELU,ADD,ADAM,0.0009942384186243402,1e-05,16,21.52055,,0.1528484901444626
Optuna-tpe,10,completed,1.1298832893371582,3,128,GATED,RELU,ADD,ADAM,0.00045015205493667196,1e-05,32,4.00506,,0.11746129016796039
Optuna-tpe,11,completed,0.7334116697311401,3,64,GATED,TANH,ADD,ADAM,0.00116310631612423,1e-05,32,9.971788,,0.00473415981761055
Optuna-tpe,12,completed,1.1785558462142944,5,128,GAT,TANH,MEAN,ADAM,0.0012109947747120208,1e-05,32,16.575263,,0.09336599204625143
Optuna-tpe,13,completed,0.9111218452453613,5,128,GATED,RELU,MEAN,ADAM,0.0006717546898770783,1e-05,16,15.589486,,0.18304964547254815
Optuna-tpe,14,completed,0.6844664216041565,5,128,GATED,TANH,MEAN,ADAM,0.0005446748137025918,1e-05,32,21.223524,,0.11897333731321907
Optuna-tpe,15,completed,0.5522758364677429,3,128,GAT,RELU,MEAN,ADAM,0.00042606108099123774,1e-05,32,36.371828,,0.12416962390268763
Optuna-tpe,16,completed,1.0318065881729126,4,64,GAT,RELU,MEAN,ADAM,0.001606527776519454,1e-05,32,27.199213,,0.1464077351190795
Optuna-tpe,17,completed,0.8069643378257751,5,64,GAT,RELU,MEAN,ADAM,0.0006351852764438099,1e-05,16,72.23782,,0.17920453836741304
Optuna-tpe,18,completed,1.4480011463165283,5,128,GAT,TANH,ADD,ADAM,0.0029574392587586496,1e-05,16,20.203626,,0.13186388379744274
