method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,0,completed,3.4764583110809326,2,32,GCN,GELU,MEAN,ADAM,4.368374398977179e-05,1e-06,128,10.544339,,0.30681519374320837
Optuna-tpe,1,completed,1.7592878341674805,2,128,GCN,GELU,ADD,ADAMW,0.00014072348481164869,0.0,256,1.758364,,0.3033811866800514
Optuna-tpe,2,completed,2.385242223739624,5,64,GRAPH_SAGE,ELU,MEAN,RMSPROP,5.303687333317697e-05,1e-06,32,13.479647,,0.139510844884551
Optuna-tpe,3,completed,1.3842194080352783,5,512,GCN,GELU,ADD,ADAM,0.0031942425901673624,0.0,128,3.401225,,0.1420355694645556
Optuna-tpe,4,completed,4.093551158905029,4,32,GRAPH_SAGE,GELU,MAX,SGD,0.00026076924523927826,0.0001,16,5.319119,,0.06275155333404187
Optuna-tpe,5,completed,1.3573541641235352,3,64,GRAPH_SAGE,TANH,ADD,ADAM,0.00031115676907124277,1e-06,16,11.448145,,0.18144976822140813
Optuna-tpe,6,completed,4.387017250061035,2,64,GAT,RELU,MEAN_MAX,SGD,5.674287015524312e-05,0.0001,16,8.271933,,0.12541695985278795
Optuna-tpe,7,completed,4.0751776695251465,5,128,GRAPH_SAGE,TANH,MEAN_MAX,ADAMW,3.655255026669948e-05,1e-05,128,1.331637,,0.4663449070094732
Optuna-tpe,8,completed,11.116223335266113,3,512,GCN,GELU,MAX,SGD,0.007479695237272003,1e-05,16,5.371235,,0.15343879555999979
Optuna-tpe,9,completed,1.5461833477020264,5,256,GAT,ELU,ADD,ADAMW,0.0033136610073771318,0.001,16,19.962159,,0.13984024325304378
Optuna-tpe,10,completed,3.534173011779785,4,128,GCN,GELU,MEAN,SGD,2.935748532981473e-05,0.001,16,36.798784,,0.19144926679883267
Optuna-tpe,11,completed,7.605245590209961,5,512,GATED,RELU,MEAN_MAX,SGD,7.044883370053682e-05,0.0,128,1.940901,,0.42321987834780916
Optuna-tpe,12,completed,6.541720867156982,5,64,GATED,TANH,MEAN_MAX,RMSPROP,0.0006505726731759905,0.001,16,8.280324,,0.2513485127223305
Optuna-tpe,13,completed,2.497140884399414,3,64,GATED,ELU,MAX,SGD,0.0004847237562255052,0.0,32,5.804697,,0.059203759187555105
Optuna-tpe,14,completed,3.517740249633789,3,256,GAT,TANH,MAX,ADAM,3.5298751311724206e-05,0.0001,64,5.009123,,0.2803801624437286
Optuna-tpe,15,completed,6.717679023742676,5,512,GCN,RELU,MAX,RMSPROP,0.00012870227654512986,1e-06,32,4.148158,,0.3130294187824158
Optuna-tpe,16,completed,4.662599563598633,4,128,GATED,ELU,MEAN_MAX,SGD,3.219305838596051e-05,0.0,32,4.820955,,0.21998114440077327
