method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout,x
Random,0,completed,0.5658558011054993,3,128,GATED,TANH,MEAN,ADAM,0.0003904511425397926,1e-05,16,34.671920878987294,,0.05524813587007224,"[0.11030503301445138, 0.7534837396445023, 0.3802786396917246, 0.8704879529825749, 0.6662496037982392, 0.6248835793680633, 0.11444544328147221, 0.40059047006133586, 0.08609499090789352, 0.22099254348028896]"
Random,1,completed,0.5984190106391907,5,128,GATED,TANH,MEAN,ADAM,0.000444121360884958,1e-05,16,35.02420643699588,,0.09834706332634438,"[0.7026547086154041, 0.7241807951244594, 0.39476931761690215, 0.6819035495672646, 0.6016817809037355, 0.8391217412721994, 0.1703804071983649, 0.27711997286916956, 0.03606652135772115, 0.3933882533053775]"
Random,2,completed,0.7587934732437134,4,128,GATED,TANH,ADD,ADAM,0.00034075252927933184,1e-05,16,32.806487624999136,,0.16788693251046632,"[0.4080536894283656, 0.7734889174421643, 0.4641600845745807, 0.7217604845649117, 0.3048065669446943, 0.531000130174301, 0.055317833405479244, 0.3737704736256925, 0.03555230432239631, 0.6715477300418653]"
Random,3,completed,1.2888094186782837,5,64,GATED,TANH,MEAN,ADAM,0.0008054330439468781,1e-05,32,5.686024853988783,,0.13411290832506978,"[0.7000901274239946, 0.2004380420063251, 0.004877602016899685, 0.5063281285574129, 0.8994907869478707, 0.8001635433409705, 0.4289081884179099, 0.5558954737449419, 0.702586690957516, 0.5364516333002791]"
Random,4,completed,0.4830704629421234,4,128,GATED,RELU,MEAN,ADAM,0.001218064301779664,1e-05,16,33.69320955700823,,0.01683937959047313,"[0.4391965826766795, 0.935060031743436, 0.11935257654272224, 0.02392580696214963, 0.9987190340604097, 0.41368144846673227, 0.6085489606469522, 0.6983285895902278, 0.13705581072158168, 0.06735751836189252]"
Random,5,completed,2.1785807609558105,5,128,GAT,TANH,MEAN,ADAM,0.0005581840282178962,1e-05,32,20.621797733998392,,0.2280101668736973,"[0.7385166672423521, 0.6920254410239396, 0.9477300212561964, 0.5658976469386569, 0.7171606391907522, 0.9945449223239414, 0.26965615078287397, 0.041773600758555296, 0.75166997043058, 0.9120406674947892]"
Random,6,completed,1.461405634880066,3,128,GAT,TANH,ADD,ADAM,0.0028358545998878673,1e-05,16,15.858501045993762,,0.2335505817089572,"[0.04013276148091949, 0.8719330847259315, 0.8262679450548974, 0.7355516491223346, 0.30030602924258687, 0.9152587258503146, 0.975562705188699, 0.3361782531794395, 0.028681095667663525, 0.9342023268358288]"
Random,7,completed,0.9525676369667053,4,64,GATED,TANH,MEAN,ADAM,0.00030007058765879076,1e-05,32,10.549193912011106,,0.00014877139893515468,"[0.46846092040652465, 0.3468312403143079, 0.29756560906152574, 0.5435531811288773, 0.8023533282162914, 0.48944405600787244, 0.00010217408243351489, 0.040520072282615116, 0.9003327232007396, 0.0005950855957406187]"
Random,8,completed,0.46523934602737427,5,128,GATED,TANH,MEAN,ADAM,0.0003687694347541052,1e-05,16,39.44290240900591,,0.1555818597060785,"[0.9727997971894659, 0.9955169616298076, 0.02109919345449629, 0.9576002768620593, 0.7355616470123386, 0.435353802855311, 0.08963366290126729, 0.9250078987827536, 0.1267207856379835, 0.622327438824314]"
Random,9,completed,0.8972802758216858,3,128,GATED,RELU,MEAN,ADAM,0.0008610610708911184,1e-05,16,10.981770213023992,,0.10196278939422809,"[0.27787973287037315, 0.6675791899210006, 0.14969862779065835, 0.4897118520511987, 0.9201822112130892, 0.4475527251909599, 0.45791270023042663, 0.08994470487380424, 0.22212796820611058, 0.40785115757691237]"
Random,10,completed,0.5872547626495361,5,64,GATED,RELU,MEAN,ADAM,0.0009641808615314684,1e-05,32,14.523272103018826,,0.005110113338622713,"[0.9043066199920632, 0.31657885939034336, 0.4320364985824523, 0.2872722678069777, 0.9633387810792363, 0.9604415510857189, 0.5070372520023448, 0.09027188712764211, 0.7938184317090816, 0.02044045335449085]"
Random,11,completed,0.9722992181777954,5,128,GAT,TANH,MEAN,ADAM,0.00034714920253709,1e-05,32,24.634185244998662,,0.14480733732552728,"[0.9113729011428836, 0.7238898953605442, 0.6838807468072534, 0.9925025505538323, 0.5038950483126365, 0.42149352649478655, 0.06339491722307744, 0.016508006427425004, 0.8025789042072282, 0.5792293493021091]"
Random,12,completed,0.7450621128082275,3,64,GATED,RELU,MEAN,ADAM,0.000635830746100441,1e-05,16,20.30950624597608,,0.1004482544129591,"[0.30921100651551137, 0.02010927766685744, 0.32644003314736736, 0.4145186887646505, 0.5300859002408397, 0.42881237640872394, 0.3262202700212685, 0.9390713632463353, 0.44879991260798424, 0.4017930176518364]"
Random,13,completed,0.8080235719680786,5,128,GAT,RELU,MEAN,ADAM,0.0014492246755875892,1e-05,16,44.330023748014355,,0.013749870570087586,"[0.977180489479137, 0.9544682104227, 0.9642351819485526, 0.3648251810429709, 0.6981541432725765, 0.4826521376047377, 0.6840144653297631, 0.2088470391044508, 0.4832677160890779, 0.05499948228035034]"
Random,14,completed,1.217793345451355,3,128,GAT,TANH,ADD,ADAM,0.0014583893259723611,1e-05,16,13.24398295400897,,0.12761854098792227,"[0.17622508401207082, 0.620880316396001, 0.6122198311969681, 0.5900587804954827, 0.12266537305521252, 0.27979991637461565, 0.686752222314896, 0.07433281280622761, 0.1866744362081345, 0.5104741639516891]"
Random,15,completed,0.7379755973815918,3,128,GATED,TANH,MEAN,ADAM,0.0017432825511059877,1e-05,16,12.502431222994346,,0.03889562775225022,"[0.01276633868070376, 0.6045671462292386, 0.05288501919324007, 0.6910506168525365, 0.8073890247286886, 0.6255969390202349, 0.7642465285126503, 0.19269372843738497, 0.26498079257924523, 0.1555825110090009]"
Random,16,completed,0.8987764120101929,5,64,GAT,TANH,ADD,ADAM,0.0005540005512235182,1e-05,32,14.315458718017908,,0.02326191515855361,"[0.7793405300895351, 0.2807316301988022, 0.9657504836353649, 0.5615186066535173, 8.334149457400741e-05, 0.5870502957474499, 0.26638894212648057, 0.5917047536453331, 0.6131203345130759, 0.09304766063421444]"
Random,17,completed,1.112635850906372,3,64,GAT,TANH,ADD,ADAM,0.0027498391399153046,1e-05,16,10.689362540986622,,0.12280922444095585,"[0.09649660611900301, 0.3083252220432381, 0.811890087655287, 0.7280350918560962, 0.08120555818581798, 0.5035695005859127, 0.9621860344958889, 0.45429067891954766, 0.32216963934450804, 0.4912368977638234]"
Random,18,completed,0.9712034463882446,5,128,GAT,TANH,MEAN,ADAM,0.0005551681204596958,1e-05,32,18.492143120005494,,0.06252075682777056,"[0.8774345406940424, 0.7915129065136957, 0.6025949965479788, 0.8054499851384915, 0.5754126256914528, 0.21995523457901023, 0.2673032648561928, 0.3266218347696185, 0.6437629135734905, 0.25008302731108223]"
Random,19,completed,1.0060434341430664,5,64,GAT,RELU,ADD,ADAM,0.001717386459013526,1e-05,16,16.310001525998814,,0.17704380192941535,"[0.9379102827847101, 0.417359279026452, 0.7675781870847836, 0.3620679017109115, 0.29377203064402624, 0.44926225938589504, 0.7577467795977335, 0.5124450871486315, 0.13819241086029166, 0.7081752077176614]"
Random,20,completed,0.8696944117546082,4,128,GAT,TANH,ADD,ADAM,0.0016585167132652622,1e-05,32,13.52418673998909,,0.11813942577428599,"[0.5889711541833091, 0.971844670294992, 0.8819469272490766, 0.9590669110452699, 0.36271970550196275, 0.4447873485476854, 0.7425985976461219, 0.856813104445508, 0.5768470268847128, 0.47255770309714396]"
Random,21,completed,0.8877080678939819,4,128,GATED,TANH,ADD,ADAM,0.0009452772475858194,1e-05,16,12.900991534988862,,0.05350542312302978,"[0.4622238681632783, 0.7499873369353182, 0.26527108723045045, 0.653277499007419, 0.076270427044563, 0.22506949681477106, 0.4984379500196081, 0.9807358204553736, 0.03738724271761207, 0.2140216924921191]"
Random,22,completed,1.127787709236145,3,128,GAT,RELU,MEAN,ADAM,0.0012139932572884505,1e-05,32,13.591590097988956,,0.05769595891200002,"[0.013115080065240758, 0.9289130232814106, 0.7413054757309305, 0.3323233069061704, 0.8321119618855227, 0.7130983197634709, 0.6070950198856788, 0.7547812594459705, 0.8490835961134414, 0.2307838356480001]"
Random,23,completed,0.7422435283660889,5,64,GATED,RELU,ADD,ADAM,0.0016320654810220493,1e-05,16,21.769800847017905,,0.1258941305632393,"[0.9221702298431684, 0.40255305294900257, 0.4495617020277237, 0.2983373946357103, 0.4311429195505574, 0.8036584896032177, 0.7356163246222288, 0.5168591190592968, 0.48755538581872926, 0.5035765222529572]"
Random,24,completed,1.7253665924072266,3,128,GAT,TANH,ADD,ADAM,0.00030575047032924206,1e-05,32,6.77034348397865,,0.19872232152442726,"[0.24416076859569313, 0.7478109861240204, 0.893603766296365, 0.5521140584578359, 0.08884049716709952, 0.5662536521948204, 0.008245879054849858, 0.6568307075647711, 0.539791697662141, 0.794889286097709]"
Random,25,completed,0.747736394405365,3,64,GAT,RELU,MEAN,ADAM,0.0018133286581157337,1e-05,16,39.75877536300686,,0.2250384745065448,"[0.1966946299317639, 0.1634553227726342, 0.6714527285385148, 0.22137843247066147, 0.7138860371615867, 0.9960170188363046, 0.781355270539835, 0.3262880478329422, 0.4582608673419878, 0.9001538980261792]"
Random,26,completed,1.064577341079712,5,128,GATED,TANH,MEAN,ADAM,0.0008200164472238194,1e-05,32,6.828750870015938,,0.22830666577749753,"[0.9088613199783101, 0.6790237203703534, 0.18847294668441883, 0.8492024877943322, 0.8275222287300462, 0.37817901256637554, 0.4367013084773632, 0.9032764985504235, 0.5177716904199735, 0.9132266631099901]"
Random,27,completed,1.2018320560455322,4,64,GAT,TANH,ADD,ADAM,0.001000158074081114,1e-05,32,11.819405043002916,,0.16547612817029475,"[0.41673119208400267, 0.28920846171610837, 0.8914270651316936, 0.9887668032802247, 0.4504151190271678, 0.28053840058540425, 0.5229473905561207, 0.08065083371702975, 0.5588063184257248, 0.661904512681179]"
Random,28,completed,0.9560479521751404,4,64,GAT,RELU,MEAN,ADAM,0.0005212834422055308,1e-05,32,27.139460938982666,,0.0017821870750729107,"[0.4194498871365602, 0.14642847456997565, 0.6331137703621373, 0.49866394108414513, 0.5845620585610657, 0.5965879644387229, 0.2399526757071181, 0.648210284222444, 0.749338091807858, 0.007128748300291643]"
