method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout,x
Random,0,completed,1.1880940198898315,4,128,GAT,TANH,MEAN,ADAM,0.001680595147376024,1e-05,16,35.751812977017835,,0.020822415368164537,"[0.3683278081049576, 0.6020862872906964, 0.6026100224505297, 0.5168850108099265, 0.9292001124437829, 0.15354212930955213, 0.7483418504884666, 0.2844744019936466, 0.31506968781092426, 0.08328966147265815]"
Random,1,completed,0.9603935480117798,4,128,GAT,RELU,ADD,ADAM,0.0019073008310768426,1e-05,16,13.705033824953716,,0.10037813572885704,"[0.6262559882338501, 0.6392155959537219, 0.7305616879908442, 0.20234511196385563, 0.05696725645409717, 0.5782237167705052, 0.8032979432936826, 0.2079030295831611, 0.37953503804381394, 0.40151254291542815]"
Random,2,completed,1.0706181526184082,4,128,GAT,RELU,MEAN,ADAM,0.0028050942154344972,1e-05,16,47.35813921800582,,0.1724242187295612,"[0.35245368777048536, 0.9031846855087714, 0.5088635915402122, 0.3114900791683215, 0.5196241521460908, 0.25131972506983624, 0.9708261978800596, 0.3904364636192851, 0.4454654013391939, 0.6896968749182448]"
Random,3,completed,1.052371859550476,3,128,GAT,TANH,MEAN,ADAM,0.0007604001517677409,1e-05,32,15.060347794031259,,0.11825053454856804,"[0.2220107130521609, 0.8596367392080252, 0.9846357513656588, 0.5721355495576478, 0.7420739837562457, 0.08191046481278119, 0.40392094015428726, 0.20378545479746002, 0.6211678082042627, 0.47300213819427217]"
Random,4,completed,1.0504326820373535,5,64,GAT,RELU,ADD,ADAM,0.000385780343044868,1e-05,16,24.58302505296888,,0.12196857209754083,"[0.8062318920592594, 0.19264021614077498, 0.8210265892670562, 0.09750273319467806, 0.1773479644837359, 0.6265772106937362, 0.10921884021952799, 0.8953141919067126, 0.3892427845298887, 0.48787428839016334]"
Random,5,completed,1.0398927927017212,4,64,GAT,TANH,ADD,ADAM,0.0007167500711630607,1e-05,32,15.355757914017886,,0.06802444156483523,"[0.48294190860422814, 0.29437626352641577, 0.6887184193342346, 0.9597396356820024, 0.32388242658851707, 0.5836386801307536, 0.3782464900181104, 0.9937261385851872, 0.7551490698701196, 0.2720977662593409]"
Random,6,completed,1.1724247932434082,3,128,GAT,RELU,MEAN,ADAM,0.00048689824832842514,1e-05,32,16.449006350012496,,0.13829085839247487,"[0.196062797596102, 0.6954762400511773, 0.6034690491879782, 0.3828430610539013, 0.817602931077578, 0.6764468605997065, 0.21031695740547296, 0.6064610771635548, 0.8455689504493222, 0.5531634335698995]"
Random,7,completed,0.8202037811279297,5,64,GAT,RELU,MEAN,ADAM,0.001222791960618389,1e-05,16,36.79796915798215,,0.017471889149575093,"[0.7270616917459161, 0.4898357176201028, 0.6163853853434659, 0.11953071392751957, 0.9176588339072075, 0.7948728323503705, 0.6102313200264488, 0.8492126680973686, 0.1678507980475321, 0.06988755659830037]"
Random,8,completed,0.498881459236145,5,128,GATED,RELU,MEAN,ADAM,0.002243774322893298,1e-05,32,12.464849398005754,,0.04263358081128035,"[0.6953216602977272, 0.8916598480840374, 0.3141218900382926, 0.28162333176237153, 0.5975751308978823, 0.22562362714326523, 0.8738579190539134, 0.7426280100105702, 0.9509456309251111, 0.1705343232451214]"
Random,9,completed,0.7318302392959595,3,128,GAT,RELU,MEAN,ADAM,0.000906724961935419,1e-05,16,34.71871213498525,,0.19688870339684122,"[0.23226268585440568, 0.7345626180126036, 0.6302938420019304, 0.311081875751253, 0.9914244612587768, 0.7979464077552585, 0.4803543172048048, 0.7602963262296308, 0.08870549131371985, 0.7875548135873649]"
