method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,0,completed,4.017487049102783,5,512,GAT,ELU,MEAN_MAX,ADAM,0.00013080767708419262,1e-06,128,2.722575,,0.43129198465102087
Optuna-tpe,1,completed,1.4265996217727661,2,128,GRAPH_SAGE,GELU,MEAN,ADAMW,0.001244604960622393,1e-06,16,11.56732,,0.2432858856510901
Optuna-tpe,2,completed,2.3893842697143555,2,32,GIN,TANH,MAX,ADAMW,0.0012751664636836877,0.0,16,6.094611,,0.2432131318291758
Optuna-tpe,3,completed,3.428997755050659,2,128,GIN,ELU,ADD,SGD,1.0087247512604068e-05,0.01,256,0.327727,,0.43838073239109554
Optuna-tpe,4,completed,1.5684455633163452,2,128,GRAPH_SAGE,ELU,MEAN,SGD,0.0026164164644513527,1e-06,16,7.420122,,0.151594461445274
Optuna-tpe,5,completed,4.688516139984131,2,128,GIN,ELU,MAX,ADAM,0.0055853343029769985,0.01,256,0.357764,,0.30105056204873404
Optuna-tpe,6,completed,7.142878532409668,2,128,GAT,GELU,MAX,SGD,1.4839936229016188e-05,0.0001,32,4.011239,,0.3590105493205288
Optuna-tpe,7,completed,9.10531997680664,3,32,GATED,ELU,MEAN_MAX,SGD,1.8172609735641417e-05,0.0,16,6.424011,,0.43578760144524115
Optuna-tpe,8,completed,1.2492918968200684,5,256,GCN,GELU,ADD,SGD,0.0037032886977122963,0.001,128,3.555668,,0.09232523158355593
Optuna-tpe,9,completed,1.2136212587356567,4,128,GAT,RELU,ADD,SGD,0.0001332702990649926,1e-06,16,41.460466,,0.3041308927898996
Optuna-tpe,10,completed,1.9481329917907715,2,256,GCN,ELU,MEAN,ADAMW,0.008752977270467059,0.0001,128,1.636214,,0.0839484615967957
Optuna-tpe,11,completed,32.18677520751953,3,128,GRAPH_SAGE,TANH,ADD,ADAMW,0.0006728920829101304,1e-06,64,1.211781,,0.44305547737743806
Optuna-tpe,12,completed,1.5083338022232056,2,128,GRAPH_SAGE,ELU,MEAN,SGD,0.0006592398076635012,1e-06,16,16.622031,,0.3635839268742893
Optuna-tpe,13,completed,2.227557897567749,4,512,GCN,TANH,ADD,ADAMW,2.7397331149068713e-05,0.0001,64,4.662847,,0.28562699632529387
Optuna-tpe,14,completed,4.144207000732422,3,256,GATED,RELU,MEAN_MAX,SGD,0.00011148145476539837,0.001,64,1.793822,,0.19501199694932736
Optuna-tpe,15,completed,4.09061336517334,5,256,GRAPH_SAGE,GELU,MEAN,SGD,0.002252721736647426,0.0001,256,0.658385,,0.37876780454962256
Optuna-tpe,16,completed,1.2744569778442383,5,512,GAT,GELU,ADD,ADAM,2.6254038473154793e-05,0.01,256,9.762688,,0.1234297744269956
Optuna-tpe,17,completed,6.241462707519531,5,64,GRAPH_SAGE,GELU,MEAN_MAX,ADAM,0.004600233208031423,0.01,32,3.586653,,0.24304300780258165
Optuna-tpe,18,completed,6.44566011428833,3,32,GAT,ELU,MAX,SGD,0.0015661463914496499,0.0001,128,1.223388,,0.3286286309045695
Optuna-tpe,19,completed,1.6370667219161987,3,128,GIN,TANH,MEAN_MAX,ADAM,0.0005139357143080676,0.01,32,4.221733,,0.06803882717305487
Optuna-tpe,20,completed,1.1947647333145142,4,64,GCN,RELU,ADD,RMSPROP,0.00014232627129132186,1e-05,128,6.556624,,0.004632414180622602
Optuna-tpe,21,completed,1.264829158782959,4,64,GCN,RELU,ADD,RMSPROP,0.0001594370339737954,1e-05,128,3.05735,,0.013148872146310013
Optuna-tpe,22,completed,1.2392009496688843,4,64,GCN,RELU,ADD,RMSPROP,5.87222869252816e-05,0.001,128,5.093852,,0.016407098179469774
Optuna-tpe,23,completed,1.2587602138519287,4,64,GCN,RELU,ADD,RMSPROP,5.667855367495013e-05,1e-05,128,3.353297,,0.011445994758844872
Optuna-tpe,24,completed,1.219015121459961,4,64,GCN,RELU,ADD,RMSPROP,0.0002708702617378936,1e-05,128,3.933473,,0.04280249934030114
Optuna-tpe,25,completed,1.4687113761901855,4,64,GCN,RELU,ADD,RMSPROP,0.00024529896224866104,1e-05,128,1.888138,,0.15074175936092155
Optuna-tpe,26,completed,0.7396149039268494,4,64,GAT,RELU,ADD,RMSPROP,0.0002808045007840976,1e-05,16,62.098534,,0.044640454355934486
Optuna-tpe,27,completed,0.9832583069801331,4,64,GAT,RELU,ADD,RMSPROP,7.248011358253052e-05,1e-05,16,71.751993,,0.19487685921232928
Optuna-tpe,28,completed,0.9097771048545837,4,64,GAT,RELU,ADD,RMSPROP,4.6642071599675826e-05,1e-05,16,143.930059,,0.18906898302248343
Optuna-tpe,29,completed,1.065004825592041,4,64,GAT,RELU,ADD,RMSPROP,6.110472337449166e-05,1e-05,16,65.231831,,0.19783642041609883
Optuna-tpe,30,completed,1.1026126146316528,5,64,GAT,RELU,ADD,RMSPROP,8.126919184272572e-05,1e-05,16,43.685503,,0.19740249416384395
Optuna-tpe,31,completed,1.316485047340393,4,64,GAT,RELU,ADD,RMSPROP,5.046511239176995e-05,1e-05,16,39.47228,,0.20108194545744978
Optuna-tpe,32,completed,2.6724853515625,4,64,GAT,RELU,ADD,RMSPROP,3.5555698364009506e-05,1e-05,16,13.496974,,0.4988112145852751
Optuna-tpe,33,completed,0.7758013010025024,4,64,GAT,RELU,ADD,RMSPROP,8.07971864405434e-05,1e-05,16,94.572223,,0.1655575227062995
Optuna-tpe,34,completed,0.7403445243835449,4,64,GAT,RELU,ADD,RMSPROP,0.00040689899757269106,1e-05,16,52.280221,,0.16250481215300236
Optuna-tpe,35,completed,0.7292478084564209,3,64,GAT,RELU,ADD,RMSPROP,0.0004109113222726281,0.0,16,51.020288,,0.13051243213651703
Optuna-tpe,36,completed,4.1006646156311035,3,512,GAT,RELU,MAX,RMSPROP,0.0003919561331622285,0.0,16,8.251015,,0.11850362822022802
Optuna-tpe,37,completed,0.7720261812210083,3,64,GAT,RELU,ADD,RMSPROP,0.0008617459138168799,0.0,16,35.901225,,0.15676268992614767
Optuna-tpe,38,completed,0.7981570959091187,3,32,GAT,RELU,ADD,RMSPROP,0.0009801243798420532,0.0,16,46.005406,,0.11921054690615564
Optuna-tpe,39,completed,1.521892786026001,3,64,GATED,RELU,MAX,RMSPROP,0.0003778690237483861,0.0,16,10.650953,,0.05462047014462182
Optuna-tpe,40,completed,1.584512710571289,3,64,GIN,TANH,MEAN,RMSPROP,0.0009961287957260684,0.0,16,11.830432,,0.24475924770037716
Optuna-tpe,41,completed,1.0935320854187012,3,64,GAT,RELU,ADD,RMSPROP,0.00019402096865730467,0.0,16,15.624577,,0.14658080503081436
Optuna-tpe,42,completed,1.0096919536590576,3,64,GAT,RELU,ADD,RMSPROP,0.0005286834411482556,0.0,16,25.712543,,0.17146174297387884
Optuna-tpe,43,completed,0.6990467309951782,3,64,GAT,RELU,ADD,RMSPROP,0.0014975269585345789,0.0,16,38.439007,,0.09771779810857043
Optuna-tpe,44,completed,0.8215612173080444,3,64,GAT,RELU,ADD,ADAMW,0.001870048024995758,0.0,16,23.607639,,0.09183352003113238
Optuna-tpe,45,completed,0.9109295010566711,2,32,GAT,RELU,ADD,RMSPROP,0.000911231781427831,0.0,16,24.323915,,0.10624759120472918
Optuna-tpe,46,completed,2.173706531524658,3,64,GAT,RELU,MEAN_MAX,RMSPROP,0.001218640268487811,0.0,32,5.796843,,0.03934260387382023
Optuna-tpe,47,completed,1.0238211154937744,3,512,GATED,RELU,ADD,ADAM,0.0007125694327506503,0.0,64,3.538037,,0.2223737560892617
Optuna-tpe,48,completed,1.4562923908233643,2,256,GAT,ELU,MEAN,ADAMW,0.003005864997333638,0.0,256,3.707356,,0.07410407163727446
Optuna-tpe,49,completed,1.1988873481750488,3,64,GIN,TANH,ADD,RMSPROP,0.00035338784700031286,1e-06,16,7.438757,,0.12678055126541513
Optuna-tpe,50,completed,4.14748477935791,3,64,GAT,GELU,MAX,RMSPROP,0.000498945693066757,0.001,16,8.27698,,0.14033530230396932
Optuna-tpe,51,completed,0.9609275460243225,4,64,GAT,RELU,ADD,RMSPROP,9.951771338858601e-05,1e-05,16,62.301415,,0.16853175547083007
Optuna-tpe,52,completed,0.6929625272750854,4,64,GAT,RELU,ADD,RMSPROP,0.0007692144562043991,0.0,16,51.863377,,0.10237177407597184
Optuna-tpe,53,completed,0.7541593313217163,4,64,GAT,RELU,ADD,RMSPROP,0.0013319585210306694,0.0,16,48.58639,,0.10052963152038388
Optuna-tpe,54,completed,0.8273520469665527,4,64,GAT,RELU,ADD,RMSPROP,0.0015586629438361344,0.0,16,29.344074,,0.09260522653443541
Optuna-tpe,55,completed,1.0272676944732666,4,256,GRAPH_SAGE,RELU,ADD,ADAM,0.00022022823091774163,0.0,64,2.757538,,0.06012107959116943
Optuna-tpe,56,completed,3.495736598968506,4,128,GAT,ELU,MEAN_MAX,RMSPROP,0.0012669146666385261,0.0,256,1.348688,,0.03672451125233987
Optuna-tpe,57,completed,0.768674910068512,5,32,GATED,GELU,ADD,ADAMW,0.0006272064070115328,0.01,32,18.450908,,0.10256986454396044
Optuna-tpe,58,completed,0.8176722526550293,4,512,GAT,RELU,MEAN,RMSPROP,0.000297507088759291,0.0001,16,40.062638,,0.13450411702796256
Optuna-tpe,59,completed,0.9037705063819885,4,64,GAT,TANH,ADD,SGD,0.0021807814329325983,0.001,16,32.100734,,0.07419376247663163
Optuna-tpe,60,completed,2.6684889793395996,5,64,GIN,RELU,ADD,RMSPROP,0.007186609216747106,1e-06,16,35.539491,,0.10941602036717307
Optuna-tpe,61,completed,0.7546985149383545,5,32,GATED,GELU,ADD,ADAMW,0.00047029096631907174,0.01,32,28.165525,,0.09889132568559376
Optuna-tpe,62,completed,0.8057056069374084,5,32,GATED,GELU,ADD,ADAMW,0.00041847812263671286,0.01,32,22.790955,,0.08754750630434621
Optuna-tpe,63,completed,0.8372734785079956,5,32,GATED,GELU,ADD,ADAMW,0.0006980407333588136,0.01,32,16.341117,,0.02961142570374921
Optuna-tpe,64,completed,1.0715280771255493,5,32,GATED,GELU,ADD,ADAMW,0.0004839460193374068,0.01,32,8.821521,,0.059987004545519765
Optuna-tpe,65,completed,1.1067969799041748,4,64,GRAPH_SAGE,GELU,ADD,ADAMW,0.00017588334646331246,0.0,32,7.986854,,0.07717558469492124
Optuna-tpe,66,completed,1.007322907447815,4,128,GAT,RELU,ADD,RMSPROP,0.003360430210953902,0.01,16,19.98083,,0.10200674118480044
Optuna-tpe,67,completed,5.019593715667725,4,32,GAT,RELU,MEAN_MAX,ADAM,0.00029049674378256,0.0001,256,1.360126,,0.26603618181333594
Optuna-tpe,68,completed,0.6478844881057739,4,64,GATED,RELU,ADD,RMSPROP,0.001691210679871443,0.0,64,13.182648,,0.12821907482605122
Optuna-tpe,69,completed,4.538083553314209,4,64,GAT,RELU,MAX,RMSPROP,0.001704699731460461,0.0,64,2.79629,,0.21954330695951707
Optuna-tpe,70,completed,0.8147904872894287,4,64,GAT,RELU,ADD,RMSPROP,0.004353908360741748,0.0,64,8.651415,,0.12849047573984396
Optuna-tpe,71,completed,0.7068164944648743,4,64,GATED,RELU,ADD,RMSPROP,0.0012013571333642998,0.0,64,9.645725,,0.047853133513508665
Optuna-tpe,72,completed,0.949591875076294,4,64,GATED,RELU,ADD,RMSPROP,0.0025069876366033816,0.0,64,5.572421,,0.046481465503886404
Optuna-tpe,73,completed,0.9645024538040161,4,64,GATED,RELU,ADD,RMSPROP,0.0011838841771003303,0.0,64,3.321751,,0.02056325042820812
Optuna-tpe,74,completed,0.8524543642997742,4,64,GATED,RELU,ADD,RMSPROP,0.0014609428524455636,0.0,64,5.565253,,0.18130453193076218
Optuna-tpe,75,completed,0.6844587922096252,4,64,GATED,RELU,ADD,RMSPROP,0.002000761210815207,0.0,64,6.926609,,0.11296617193593837
Optuna-tpe,76,completed,0.8990492820739746,4,64,GATED,RELU,ADD,RMSPROP,0.0008370647975713823,1e-05,64,4.77587,,0.1542385353024433
Optuna-tpe,77,completed,0.8341618776321411,4,64,GATED,RELU,ADD,RMSPROP,0.0020301865713935373,0.0,64,7.391091,,0.06414085239109467
Optuna-tpe,78,completed,1.4104152917861938,4,64,GATED,ELU,MEAN,SGD,0.0005721577791076099,0.0,64,9.900694,,0.11561273945931352
Optuna-tpe,79,completed,1.9589002132415771,4,256,GATED,RELU,ADD,RMSPROP,0.000794290004379031,1e-05,64,4.809644,,0.004323452025137613
Optuna-tpe,80,completed,0.894809365272522,3,64,GATED,RELU,ADD,RMSPROP,0.0010636198012451137,1e-06,64,5.061928,,0.14206607553512712
Optuna-tpe,81,completed,0.7587196826934814,4,64,GAT,RELU,ADD,RMSPROP,0.0024694205645826896,0.0,16,35.803631,,0.08353623432084653
Optuna-tpe,82,completed,0.7533603310585022,4,64,GAT,RELU,ADD,RMSPROP,0.0014257489996375766,0.0,16,29.365853,,0.11717299781022975
Optuna-tpe,83,completed,0.834601640701294,4,64,GRAPH_SAGE,RELU,ADD,RMSPROP,0.002955930902560351,0.0,16,17.008311,,0.129965256831806
Optuna-tpe,84,completed,0.7952386736869812,4,64,GAT,RELU,ADD,RMSPROP,0.00106066694371896,0.0,64,9.477194,,0.026748315898266477
Optuna-tpe,85,completed,0.9196925163269043,4,64,GIN,RELU,ADD,RMSPROP,0.0016326805933888065,0.0,16,15.708087,,0.15498953713224806
Optuna-tpe,86,completed,1.0908583402633667,4,512,GCN,RELU,MAX,RMSPROP,0.0003348540755411683,0.001,16,28.281139,,0.05116210157803662
Optuna-tpe,87,completed,1.2284728288650513,3,64,GAT,TANH,ADD,RMSPROP,0.0018913026767484198,1e-05,16,23.436489,,0.11937225109447322
Optuna-tpe,88,completed,4.095619201660156,4,64,GAT,RELU,MEAN_MAX,RMSPROP,0.0002135306242515436,0.0,64,3.772336,,0.08135249445673325
Optuna-tpe,89,completed,0.9826761484146118,4,64,GAT,RELU,ADD,RMSPROP,0.004054944106094032,0.0,128,4.655139,,0.18248742053893702
Optuna-tpe,90,completed,0.9554714560508728,3,128,GATED,RELU,ADD,RMSPROP,0.0014035932005534552,0.0,16,15.754088,,0.11322018315091782
Optuna-tpe,91,completed,0.6916464567184448,4,64,GAT,RELU,ADD,RMSPROP,0.0013740585551367092,0.0,16,61.464439,,0.09752131950823349
Optuna-tpe,92,completed,0.7194137573242188,4,64,GAT,RELU,ADD,RMSPROP,0.0007598647231036396,0.0,16,58.251944,,0.06742847992059642
Optuna-tpe,93,completed,0.8718036413192749,4,64,GAT,RELU,ADD,RMSPROP,0.0007470882041928956,0.0,16,19.764672,,0.06935145657057447
Optuna-tpe,94,completed,0.8301751613616943,4,64,GAT,RELU,ADD,RMSPROP,0.0006281212154953778,1e-05,16,26.461645,,0.0901249075162473
Optuna-tpe,95,completed,0.7384287714958191,4,64,GAT,RELU,ADD,ADAM,0.00040639580053364267,0.0,16,68.850535,,0.05176427574603616
Optuna-tpe,96,completed,0.6565718054771423,4,64,GAT,RELU,ADD,ADAM,0.0002569195708205762,0.0,16,88.269797,,0.04141194140094538
Optuna-tpe,97,completed,0.8232909440994263,4,64,GAT,ELU,ADD,ADAM,0.0055566421998544885,0.0,256,3.858901,,0.03617804919164294
Optuna-tpe,98,completed,2.3734803199768066,4,64,GAT,RELU,MEAN,ADAM,1.0954413521272792e-05,0.0,16,164.92939,,0.05061608909659926
Optuna-tpe,99,completed,0.9276170134544373,4,64,GCN,RELU,ADD,ADAM,0.00024235175825524277,0.0,16,48.59649,,0.06712032398342374
Optuna-tpe,100,completed,0.9089394807815552,2,256,GAT,RELU,ADD,ADAM,0.0010519278399844915,0.0,64,6.598252,,0.32696267400606777
Optuna-tpe,101,completed,1.0675476789474487,4,64,GAT,RELU,ADD,ADAM,0.00041335165457371875,0.0,16,20.042021,,0.00012553661086888573
Optuna-tpe,102,completed,0.7870787978172302,4,64,GAT,RELU,ADD,ADAM,0.00025714841508156104,0.0,16,42.773223,,0.027867612521352534
Optuna-tpe,103,completed,0.7413994669914246,4,64,GAT,RELU,ADD,ADAM,0.0003233158051452789,0.0,16,55.737671,,0.01531990156836801
Optuna-tpe,104,completed,1.080527663230896,4,64,GAT,RELU,ADD,SGD,0.00016795738052258555,0.0001,16,41.675999,,0.04184561228153451
Optuna-tpe,105,completed,2.688349962234497,4,64,GIN,TANH,ADD,ADAM,0.0018596419774337565,0.0,16,19.709404,,0.41861006496432573
Optuna-tpe,106,completed,0.6023203134536743,4,512,GRAPH_SAGE,RELU,ADD,ADAM,0.0005864512505426983,0.0,16,44.467491,,0.060743573104355686
Optuna-tpe,107,completed,0.8759132027626038,3,512,GRAPH_SAGE,RELU,ADD,ADAM,0.0009643541435985457,0.0,16,10.058278,,0.061563929766918185
Optuna-tpe,108,completed,6.866207122802734,4,512,GRAPH_SAGE,RELU,MAX,ADAM,0.0005669100726985616,0.0,64,1.566426,,0.09408821082439095
Optuna-tpe,109,completed,7.882358551025391,4,512,GRAPH_SAGE,RELU,MEAN_MAX,ADAM,0.0006518972148170293,0.0,128,1.563797,,0.0784897159867656
Optuna-tpe,110,completed,1.1111326217651367,4,512,GRAPH_SAGE,RELU,ADD,ADAM,0.001190511044761202,0.0,16,9.079821,,0.05583498403592873
Optuna-tpe,111,completed,0.8120889067649841,4,64,GATED,RELU,ADD,RMSPROP,0.00044794917601399,0.0,16,17.68417,,0.10570934554353564
Optuna-tpe,112,completed,0.9494693875312805,4,64,GAT,RELU,ADD,ADAM,0.0003556851365872734,1e-06,16,23.465447,,0.07225103860762631
Optuna-tpe,113,completed,0.9130233526229858,4,64,GAT,RELU,ADD,RMSPROP,0.00013100315760063047,0.0,16,35.763199,,0.04131827704522886
Optuna-tpe,114,completed,0.7425605654716492,4,64,GATED,RELU,ADD,RMSPROP,0.0008003236925220893,0.001,16,23.398054,,0.022262830959815905
Optuna-tpe,115,completed,0.7352174520492554,4,128,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0022636050148934043,0.0,16,16.3111,,0.13532659603275785
Optuna-tpe,116,completed,0.8847430944442749,4,128,GRAPH_SAGE,RELU,ADD,SGD,0.0028781340390521123,0.0,16,17.236581,,0.14345153833651786
Optuna-tpe,117,completed,0.9211763739585876,4,128,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0023073693176377326,0.0,64,3.523124,,0.13466077766974266
Optuna-tpe,118,completed,2.424571990966797,4,128,GRAPH_SAGE,ELU,ADD,RMSPROP,0.0016886408415558527,0.0,256,0.919608,,0.0859156442673315
Optuna-tpe,119,completed,0.8843362927436829,3,128,GRAPH_SAGE,RELU,ADD,ADAM,0.0020638594999638875,0.0,16,11.066566,,0.09707914629799483
Optuna-tpe,120,completed,3.9358632564544678,4,512,GATED,RELU,MEAN,RMSPROP,0.0035270158311980627,0.0,16,14.857988,,0.11085373384321788
Optuna-tpe,121,completed,0.7427635788917542,4,64,GAT,RELU,ADD,RMSPROP,0.0008585072879946993,0.0,16,33.794532,,0.05142477686715445
Optuna-tpe,122,completed,0.7976198196411133,4,64,GAT,RELU,ADD,RMSPROP,0.0005707617367672782,0.0,16,29.30925,,0.03163026100399008
Optuna-tpe,123,completed,0.754630446434021,4,64,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0012123906531408771,0.0001,16,18.971348,,0.12574479186227472
Optuna-tpe,124,completed,0.8051751852035522,4,128,GAT,RELU,ADD,RMSPROP,0.000293916651095712,0.0,64,16.249449,,0.06630756268872001
Optuna-tpe,125,completed,1.227632761001587,4,256,GATED,RELU,ADD,RMSPROP,0.000493178747362532,0.0,16,17.464708,,0.07770675493236878
Optuna-tpe,126,completed,0.9504082202911377,4,64,GAT,RELU,ADD,RMSPROP,0.002597597319721502,0.0,16,13.360938,,0.08950781618277699
Optuna-tpe,127,completed,0.9511786699295044,4,64,GAT,TANH,ADD,RMSPROP,0.0003846406931755583,0.0,16,26.083669,,0.056399138200815296
Optuna-tpe,128,completed,0.9592819213867188,3,64,GCN,RELU,ADD,RMSPROP,0.001501438012812971,0.0,64,8.059197,,0.10395813807665122
Optuna-tpe,129,completed,0.8651475310325623,4,64,GIN,RELU,ADD,ADAM,0.001087064376283349,0.0,16,24.867308,,0.045459993621682286
Optuna-tpe,130,completed,4.6259541511535645,4,512,GATED,RELU,MAX,RMSPROP,0.0018601673217481841,1e-06,128,1.383856,,0.009397338616077791
Optuna-tpe,131,completed,0.6815782189369202,4,64,GAT,RELU,ADD,RMSPROP,0.0004388789310122242,1e-05,16,78.073061,,0.16209376823366703
Optuna-tpe,132,completed,0.7056567072868347,4,64,GAT,RELU,ADD,RMSPROP,0.00043235414933032597,1e-05,16,49.063954,,0.14875458346181053
Optuna-tpe,133,completed,0.7075937390327454,4,64,GAT,RELU,ADD,RMSPROP,0.0006896365766796474,1e-05,16,61.994844,,0.16581012567773062
Optuna-tpe,134,completed,1.106006383895874,4,64,GAT,RELU,ADD,RMSPROP,0.000663745595985125,1e-05,16,13.463948,,0.12114176518640875
Optuna-tpe,135,completed,0.9230536818504333,4,64,GAT,RELU,ADD,RMSPROP,0.0008975676920802505,1e-05,16,19.963734,,0.15890469771261984
Optuna-tpe,136,completed,0.8469445705413818,4,64,GAT,RELU,ADD,RMSPROP,0.0005410462174127534,1e-05,16,36.102314,,0.16918868090986613
Optuna-tpe,137,completed,3.8609814643859863,4,64,GAT,RELU,MEAN_MAX,RMSPROP,0.000756558157014771,1e-05,64,2.911063,,0.1455928144593095
Optuna-tpe,138,completed,0.8317884206771851,4,64,GAT,RELU,ADD,RMSPROP,0.0014210527941178512,1e-05,16,29.593619,,0.20999499338837013
Optuna-tpe,139,completed,0.7552841305732727,4,64,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0004426717447057936,1e-05,16,27.346836,,0.13572876379639975
Optuna-tpe,140,completed,0.8245559334754944,4,128,GAT,RELU,ADD,RMSPROP,0.0005945827142968113,1e-05,16,26.357321,,0.18176303973695998
Optuna-tpe,141,completed,0.8280490636825562,4,64,GAT,RELU,ADD,RMSPROP,0.0003647338972180393,0.001,16,49.097545,,0.15032489055392956
Optuna-tpe,142,completed,0.6887006759643555,4,64,GAT,RELU,ADD,RMSPROP,0.000711037530143678,0.0,16,48.532382,,0.13318665698606666
Optuna-tpe,143,completed,0.8618221879005432,4,64,GAT,RELU,ADD,RMSPROP,0.0009453189858336835,0.0,16,22.955221,,0.12750662641793278
Optuna-tpe,144,completed,0.7415286898612976,4,64,GAT,RELU,ADD,RMSPROP,0.0007324865571387156,1e-05,16,49.056422,,0.16040675643617597
Optuna-tpe,145,completed,0.761034369468689,4,64,GATED,ELU,ADD,RMSPROP,0.0005106264156715376,0.0,16,26.327504,,0.14142438421848183
Optuna-tpe,146,completed,0.9708904027938843,3,64,GAT,RELU,ADD,RMSPROP,0.0012924795258407143,0.0,64,5.516022,,0.1735803496475407
Optuna-tpe,147,completed,0.7899854779243469,4,64,GAT,RELU,ADD,RMSPROP,0.0006844001349908844,0.0,16,32.525536,,0.11802066275263073
Optuna-tpe,148,completed,1.76348078250885,4,64,GAT,RELU,MEAN,RMSPROP,0.002211421730762953,0.0,256,3.867432,,0.10782768008090415
Optuna-tpe,149,completed,1.0792251825332642,4,64,GATED,RELU,ADD,SGD,0.001633819168705378,0.0001,16,18.930385,,0.13154728407936325
