method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,0,completed,0.8103787899017334,5,128,GATED,RELU,ADD,ADAM,0.0010532808307695707,1e-05,32,10.617797,,0.2091699852702987
Optuna-tpe,1,completed,0.9032519459724426,4,64,GATED,TANH,ADD,ADAM,0.00033612301775083706,1e-05,16,26.055139,,0.18778912149778113
Optuna-tpe,2,completed,0.788441002368927,3,64,GAT,RELU,ADD,ADAM,0.00044269689303254935,1e-05,16,29.160206,,0.08831127452927567
Optuna-tpe,3,completed,0.5448102951049805,4,128,GATED,RELU,MEAN,ADAM,0.00040417726846333487,1e-05,32,24.944549,,0.09176071829013743
Optuna-tpe,4,completed,1.420285701751709,4,128,GAT,TANH,MEAN,ADAM,0.0006368246467652265,1e-05,32,17.186859,,0.21436147209942183
Optuna-tpe,5,completed,0.8072879314422607,5,64,GAT,RELU,ADD,ADAM,0.0019662769961217162,1e-05,32,16.484375,,0.131521941981192
Optuna-tpe,6,completed,0.5750395059585571,3,64,GATED,RELU,MEAN,ADAM,0.0007616549027907043,1e-05,32,17.253062,,0.07028766526406793
Optuna-tpe,7,completed,0.9469401240348816,5,64,GAT,RELU,MEAN,ADAM,0.0010931691205463704,1e-05,16,36.70108,,0.19276338403277585
Optuna-tpe,8,completed,1.3965294361114502,3,64,GATED,TANH,MEAN,ADAM,0.0008010342927970993,1e-05,16,8.043842,,0.10570179835305682
Optuna-tpe,9,completed,0.7601036429405212,5,128,GATED,RELU,ADD,ADAM,0.0005153612405620017,1e-05,32,13.291028,,0.07372214153312331
Optuna-tpe,10,completed,0.9378013014793396,5,64,GAT,RELU,MEAN,ADAM,0.0006043779535262955,1e-05,16,60.664701,,0.016168226803714686
Optuna-tpe,11,completed,0.4863860011100769,3,64,GATED,TANH,MEAN,ADAM,0.0005934344415722089,1e-05,32,23.456141,,0.14451935327242868
Optuna-tpe,12,completed,1.1725887060165405,5,64,GAT,TANH,MEAN,ADAM,0.0010641925603175465,1e-05,16,48.570198,,0.24869179116470147
Optuna-tpe,13,completed,0.7867981791496277,5,128,GATED,RELU,ADD,ADAM,0.0022976299236309662,1e-05,16,23.638161,,0.17569827169090102
