method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout,x
Random,0,completed,1.5878702402114868,2,32,GCN,RELU,MEAN_MAX,ADAMW,0.007340186603182039,0.01,16,11.309307983989129,,0.06632033607684928,"[0.05815448596142969, 0.06291016742457756, 0.12358607277440903, 0.05258016436107704, 0.5261718968547618, 0.47678475378747964, 0.9552357002491416, 0.9287525814574296, 0.08354336875286783, 0.13264067215369857]"
Random,1,completed,3.8028101921081543,2,64,GIN,ELU,MAX,RMSPROP,1.837931642265117e-05,0.001,128,0.9109029429964721,,0.21863949889532608,"[0.15705349751070807, 0.3753670320505006, 0.8425197308314868, 0.8705010417836975, 0.3775329552705594, 0.6124365889937913, 0.088109784914571, 0.7011818919498007, 0.6234030833542006, 0.43727899779065216]"
Random,2,completed,1.701538324356079,2,256,GRAPH_SAGE,TANH,MEAN,ADAM,0.006247789221809945,0.0,32,5.199084071005927,,0.06521674631605223,"[0.07473487847374805, 0.683430217106661, 0.31223868072296257, 0.30905877722327246, 0.03134016542741558, 0.04036646765995722, 0.9319087898549986, 0.15212582742256442, 0.26504491174836087, 0.13043349263210446]"
Random,3,completed,22.306640625,3,64,GRAPH_SAGE,TANH,MEAN_MAX,RMSPROP,0.0035237779792245574,0.0,32,2.482907367986627,,0.21615187722766976,"[0.2518552209413236, 0.2334081890579478, 0.22566509879348662, 0.3175677977570315, 0.6144082848015856, 0.5977713515360384, 0.8490028457480704, 0.0324956087559799, 0.30924379397653057, 0.43230375445533953]"
Random,4,completed,3.4176206588745117,5,32,GAT,TANH,ADD,SGD,0.00014217854645287218,0.0,128,7.679110708995722,,0.2909672334941129,"[0.9342988061888965, 0.12231294307466178, 0.42769535701973305, 0.2881838755896613, 0.9814010535412249, 0.8456305290991825, 0.38427802331727856, 0.099306682558853, 0.662647994852222, 0.5819344669882258]"
Random,5,completed,4.576314926147461,4,128,GCN,GELU,MAX,SGD,4.987895243052901e-05,1e-05,128,2.731325578992255,,0.13825412858339559,"[0.709319516317736, 0.4720275162478108, 0.09382695920478412, 0.6064138062757788, 0.49915205348586844, 0.998435652990709, 0.23263910791586684, 0.37290502587998675, 0.6254849248752731, 0.27650825716679117]"
Random,6,completed,2.5487189292907715,2,256,GRAPH_SAGE,GELU,MAX,ADAMW,0.0006893448740441299,0.01,128,1.6399915770161897,,0.0722213800910656,"[0.011085389766746001, 0.7228172014675758, 0.25441960656698626, 0.6308107210423044, 0.35387974120819565, 0.44158710288962544, 0.6128121835105449, 0.8994208170256335, 0.6797180250341439, 0.1444427601821312]"
Random,7,completed,2.575934410095215,4,512,GRAPH_SAGE,RELU,MEAN_MAX,ADAM,0.0004841536013058785,0.0001,16,51.94735867501004,,0.1499120986365498,"[0.5572926496894439, 0.9697166888657457, 0.30930662826529676, 0.06500730459327841, 0.6438373142919297, 0.006669421279685617, 0.5616610555457975, 0.6434349662308111, 0.1378052955041077, 0.2998241972730996]"
Random,8,completed,1.6381944417953491,4,128,GATED,RELU,ADD,SGD,5.015755389527369e-05,0.001,16,27.07706520400825,,0.04808053563281878,"[0.6358064890091777, 0.5145604369405147, 0.6791539647150593, 0.16750305691635847, 0.8917954773145947, 0.9754446344005356, 0.2334454494942596, 0.7177006124123532, 0.011700897809707067, 0.09616107126563755]"
Random,9,completed,7.912610054016113,5,256,GCN,TANH,ADD,ADAMW,0.00046825632474573265,0.0001,16,7.842454513011035,,0.48082261126499326,"[0.9290032251892535, 0.7253178829735847, 0.08776889883495231, 0.4957090549397083, 0.9407950668660746, 0.2933836176078757, 0.5568278840364884, 0.6040106348470814, 0.05836936919045799, 0.9616452225299865]"
