method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,0,completed,1.1089526414871216,3,64,GAT,TANH,ADD,ADAM,0.0005904700126225788,1e-05,16,20.098933,,0.09677103581379504
Optuna-tpe,1,completed,1.367672085762024,5,64,GAT,TANH,ADD,ADAM,0.0005179700442873745,1e-05,16,56.499203,,0.14159473499185293
Optuna-tpe,2,completed,0.8193677663803101,4,128,GATED,TANH,MEAN,ADAM,0.002854237597387636,1e-05,16,9.569782,,0.03481069624006533
Optuna-tpe,3,completed,1.2735651731491089,5,64,GAT,TANH,MEAN,ADAM,0.0012590672071904256,1e-05,32,26.806697,,0.08879439400492581
Optuna-tpe,4,completed,0.5925939679145813,4,128,GATED,RELU,MEAN,ADAM,0.0013246197049447323,1e-05,16,22.479281,,0.2181769851802161
Optuna-tpe,5,completed,0.5909791588783264,3,64,GATED,TANH,MEAN,ADAM,0.0023389430432621027,1e-05,32,7.962009,,0.12735175356769135
Optuna-tpe,6,completed,1.2872869968414307,3,128,GAT,RELU,MEAN,ADAM,0.002793579332091621,1e-05,32,9.732999,,0.15478439004591407
Optuna-tpe,7,completed,0.6920573711395264,4,64,GAT,RELU,ADD,ADAM,0.0007899990626247035,1e-05,16,66.254572,,0.18230058816122974
Optuna-tpe,8,completed,0.9369536638259888,5,64,GATED,TANH,MEAN,ADAM,0.00039936925022213354,1e-05,16,17.839204,,0.15585466510233195
Optuna-tpe,9,completed,0.5999724268913269,3,64,GATED,RELU,MEAN,ADAM,0.0006042593139523967,1e-05,32,18.778371,,0.214136505914441
Optuna-tpe,10,completed,2.1851279735565186,4,64,GAT,TANH,ADD,ADAM,0.00036709225278311997,1e-05,32,13.645294,,0.18316113829501046
Optuna-tpe,11,completed,0.6572933793067932,4,128,GAT,RELU,MEAN,ADAM,0.0007385322896849135,1e-05,32,29.077199,,0.17650927122562182
