method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout,x
Random,0,completed,9.097929000854492,5,32,GRAPH_SAGE,GELU,MEAN_MAX,SGD,0.009195393427506334,0.01,64,2.8414616669761017,,0.449570760561241,"[0.9441757818100847, 0.11420205801802086, 0.21058731552988852, 0.6836567027264742, 0.741320205784185, 0.9840197347193375, 0.987856771794583, 0.8389126034880114, 0.5791355730043913, 0.899141521122482]"
Random,1,completed,4.241844654083252,4,128,GIN,RELU,ADD,SGD,5.029634667260021e-05,0.0,64,1.7865905539947562,,0.47354189666908025,"[0.7163863824789405, 0.41435031639254594, 0.9161200419502087, 0.017282528215650017, 0.997451445551354, 0.7921549029559973, 0.2338454802568677, 0.033690474496381184, 0.5256377528470629, 0.9470837933381605]"
Random,2,completed,0.9524818658828735,4,64,GAT,RELU,ADD,ADAM,0.0027547245416448107,0.0001,32,7.064295421005227,,0.1555704338364644,"[0.7130884119368491, 0.36396949978796866, 0.5459108893535993, 0.17205198611825545, 0.7553463069199289, 0.025789160046329807, 0.8133593927111615, 0.5105509114616694, 0.28710962711364696, 0.3111408676729288]"
Random,3,completed,6.765905857086182,2,128,GAT,GELU,MAX,ADAMW,4.132871139425242e-05,0.0,32,4.134670489002019,,0.3683320835674511,"[0.055175806399021865, 0.4618677011360035, 0.5442234044958297, 0.6592540824373314, 0.3623482313033912, 0.3486626979877073, 0.20541728814584248, 0.027696707754913064, 0.27108520776400746, 0.7366641671349022]"
Random,4,completed,1.191449761390686,3,64,GATED,GELU,ADD,ADAM,0.00010225627838014316,0.001,64,5.597912311030086,,0.016053843284272118,"[0.46747776317429346, 0.25929927414292775, 0.6769418411077691, 0.7406049682385604, 0.814600065291008, 0.19536108892888648, 0.3365633275064702, 0.7024151279018153, 0.5997034165147954, 0.032107686568544236]"
Random,5,completed,5.375889778137207,2,32,GCN,ELU,MAX,SGD,2.4515029062897103e-05,1e-05,32,2.8066789529984817,,0.21007690816037589,"[0.01570344958796932, 0.0659352637680164, 0.14907355653560628, 0.9340843931741272, 0.2635707775190518, 0.8121187772218162, 0.12981080414815316, 0.4269706475444983, 0.23006241681881467, 0.42015381632075177]"
Random,6,completed,1.7459739446640015,4,32,GAT,GELU,MEAN,RMSPROP,0.0006670798537637068,0.001,128,13.052325472002849,,0.057077947545964014,"[0.5902338259341839, 0.005123150840620649, 0.5036161093776146, 0.5266796777930841, 0.1295139662060394, 0.6066549602153796, 0.6080592749602597, 0.7939780787947233, 0.6383753755929557, 0.11415589509192803]"
Random,7,completed,1.193837285041809,2,512,GIN,TANH,ADD,ADAMW,0.00018663202410615682,1e-06,16,9.18746452499181,,0.20210080504738398,"[0.03159812404185747, 0.8374856964986476, 0.8174570116039378, 0.40322665993147744, 0.8127027113816824, 0.46645627879626606, 0.4236620554006695, 0.32581587958354885, 0.14084045368066067, 0.40420161009476796]"
Random,8,completed,5.010347366333008,3,32,GRAPH_SAGE,RELU,MAX,SGD,0.00014090713424528778,0.0,32,2.8993295379914343,,0.086880852314838,"[0.47819499445356217, 0.08752482571981712, 0.3698664767819928, 0.14920594958543965, 0.4018101851689676, 0.7536000901712343, 0.382977660785502, 0.02486336471404782, 0.3315992323416317, 0.173761704629676]"
Random,9,completed,1.312670350074768,2,512,GAT,GELU,ADD,SGD,0.0029393679906266107,0.001,256,1.7785678849904798,,0.18606677063739124,"[0.12110836883053111, 0.910540057473333, 0.5121914726040868, 0.6725507066969308, 0.7861634610338861, 0.9388960646163671, 0.8227513201498827, 0.7780694532172259, 0.9570256617496569, 0.3721335412747825]"
