method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout,x
Random,0,completed,4.41315221786499,4,512,GATED,TANH,MEAN_MAX,ADAMW,4.8576938019756044e-05,0.01,16,7.146724581019953,,0.3687816485779626,"[0.5347209901491757, 0.9144907009681179, 0.6274528462922399, 0.4430237943078401, 0.6239658436918508, 0.38135206357372975, 0.2288100453928611, 0.974947213275668, 0.19985407871047445, 0.7375632971559252]"
Random,1,completed,1.9171425104141235,5,32,GRAPH_SAGE,RELU,MEAN,ADAM,0.003648360963925923,1e-05,16,16.881165247003082,,0.3844393717888796,"[0.9190464186801888, 0.018196211849084376, 0.3643154664022489, 0.03235995218706511, 0.049004730595669455, 0.009072757916561924, 0.8540326000979866, 0.46011877331638407, 0.006298396884849677, 0.7688787435777592]"
Random,2,completed,3.4754443168640137,4,64,GCN,GELU,MEAN,SGD,0.0007775561247861568,0.0001,64,3.9164656039793044,,0.19522421585600042,"[0.5242522669005203, 0.22871764294989638, 0.18750408144573283, 0.5168528481387756, 0.10943863985021707, 0.8008158856201696, 0.630243915548161, 0.5953987785467069, 0.532767077115254, 0.39044843171200083]"
Random,3,completed,4.371031284332275,5,32,GAT,TANH,ADD,RMSPROP,0.001298586121259747,1e-05,256,0.9533765370142646,,0.2535090933988056,"[0.786878185639702, 0.190491932355336, 0.4994875269937564, 0.2509474591888118, 0.9666423730984138, 0.7252868086237881, 0.7044902523351533, 0.38779907876379405, 0.8162857937847323, 0.5070181867976112]"
Random,4,completed,9.007948875427246,5,32,GAT,RELU,MAX,ADAMW,0.00045168814618381896,1e-06,64,4.317301367991604,,0.3492961527049563,"[0.8719626518857724, 0.0903834032972265, 0.5432800255334784, 0.14529651243989727, 0.4052698259035127, 0.32663871506464426, 0.5516128977876721, 0.23484615377599938, 0.5497822358919465, 0.6985923054099126]"
Random,5,completed,2.4134936332702637,5,512,GCN,TANH,ADD,RMSPROP,0.00023721147638493405,0.001,32,9.006890652002767,,0.13161805686398337,"[0.8215210099274972, 0.8090737081104249, 0.06936198660441828, 0.49156371137900534, 0.8258029544009808, 0.5889663152320819, 0.45837856551303513, 0.7534484289662394, 0.25350573469473947, 0.26323611372796674]"
Random,6,completed,1.1525695323944092,4,32,GATED,GELU,ADD,ADAM,0.0009143247736670243,0.0001,128,3.1039756819955073,,0.3408183478400042,"[0.5630891143948488, 0.13327439738467395, 0.7884359350964554, 0.5684721834563546, 0.9848109446428335, 0.045974748317998526, 0.6537001623846704, 0.5073561407740814, 0.666102077406875, 0.6816366956800084]"
Random,7,completed,4.1417436599731445,2,32,GAT,TANH,MAX,RMSPROP,2.373040885025196e-05,0.01,256,6.7641311950283125,,0.08964407857931611,"[0.23854258342631418, 0.19797060267286837, 0.41049857202989126, 0.333857009662778, 0.28383594083815544, 0.5053944066847967, 0.12510174024127263, 0.9509197725613764, 0.9571341831805624, 0.17928815715863222]"
Random,8,completed,1.9547784328460693,4,128,GCN,TANH,MEAN,ADAMW,0.0027688309919582997,1e-05,128,1.8751151480246335,,0.26907584032028725,"[0.5015548841313345, 0.46413408747212737, 0.02369441597953481, 0.3105817711103437, 0.11163765479379995, 0.468383171198419, 0.8140988158131103, 0.4422808019562465, 0.6032986828503649, 0.5381516806405745]"
Random,9,completed,1.3842874765396118,5,128,GIN,ELU,ADD,RMSPROP,0.00022947241551737497,1e-05,256,1.6412359400419518,,0.25510143972747423,"[0.7915868040137619, 0.4147876762689414, 0.863779330005881, 0.8696800345117317, 0.9900830298811544, 0.666217515358775, 0.4535768290738149, 0.43076057376895194, 0.9478827453862758, 0.5102028794549485]"
Random,10,completed,1.4047586917877197,4,32,GRAPH_SAGE,RELU,ADD,ADAMW,0.0013218530339929784,1e-05,128,2.6768080869806,,0.4879956102588171,"[0.7217013662081332, 0.14922075266659207, 0.24847098576100557, 0.09302515717204252, 0.9818413340484101, 0.3217084388779746, 0.7070610573963388, 0.4439765310298356, 0.7723246984411836, 0.9759912205176342]"
Random,11,completed,3.101621627807617,5,256,GATED,RELU,MAX,SGD,2.4182648219189907e-05,0.01,16,22.3182367469999,,0.047051261187043336,"[0.7851156850471734, 0.6659473629995578, 0.6241489595379673, 0.1493940808960721, 0.2504492128023056, 0.8297595611291481, 0.12783461943718932, 0.835462240205083, 0.13817315591707624, 0.09410252237408667]"
Random,12,completed,0.7788147926330566,2,128,GRAPH_SAGE,RELU,MEAN_MAX,ADAM,0.0059703828691863615,1e-06,64,4.583238889987115,,0.025277160570362278,"[0.20415016088695292, 0.4392778352222637, 0.34275801160765806, 0.22049867435387682, 0.574848038082737, 0.23984465700636048, 0.9253340608311337, 0.25078874647941807, 0.5520711912141854, 0.050554321140724556]"
Random,13,completed,3.4659416675567627,4,512,GCN,RELU,MEAN_MAX,ADAMW,0.0029098267051797205,0.01,32,3.6751681339810602,,0.1705355235372749,"[0.6816207004089547, 0.8357369866805006, 0.15190447853562805, 0.10769515018594067, 0.6935360131958798, 0.47724616931779684, 0.8212890417782085, 0.8636125190815519, 0.23138600744391924, 0.3410710470745498]"
Random,14,completed,2.3724398612976074,5,512,GCN,ELU,MEAN,ADAM,4.422855997836707e-05,0.01,256,6.706416608998552,,0.09062790157229855,"[0.8112456327036913, 0.8873879197117612, 0.042659081120371756, 0.9286657925284066, 0.1769047354112835, 0.041892738701765575, 0.2152342665211221, 0.9847361175225398, 0.8629050508794736, 0.1812558031445971]"
Random,15,completed,6.307323932647705,2,32,GCN,GELU,MEAN_MAX,ADAM,1.4786604617575077e-05,0.0,64,3.516024101001676,,0.43903939430833955,"[0.12388036345494069, 0.19295547911774247, 0.055446664866905304, 0.6689844019669119, 0.5543614920743848, 0.21565377178480338, 0.05662282010983655, 0.03578536355710782, 0.4542058917634022, 0.8780787886166791]"
Random,16,completed,9.285354614257812,5,64,GAT,RELU,MEAN_MAX,ADAM,0.001241152345495934,1e-06,256,0.9509113049716689,,0.3167456748250214,"[0.8270473423126267, 0.3763212319896586, 0.5812939461289346, 0.1343099597967713, 0.7490541231359249, 0.12102387957485361, 0.6979416974449103, 0.27101890899126924, 0.9745725988601094, 0.6334913496500428]"
Random,17,completed,4.04083251953125,3,32,GAT,RELU,MAX,ADAM,0.00013222302119195466,1e-06,128,2.6653370420099236,,0.05092990372933126,"[0.3410924779810165, 0.009389382532636992, 0.5765091211398127, 0.17455279771693244, 0.2792949753180952, 0.09370523102946537, 0.3737690254084577, 0.2272580279674613, 0.6447040978629512, 0.10185980745866252]"
Random,18,completed,0.7231638431549072,5,32,GATED,ELU,MEAN,ADAMW,0.00044206998163998795,0.001,32,28.38446912600193,,0.32694444319315075,"[0.9224313261048259, 0.18040524917483614, 0.6767078651859847, 0.8468654970328906, 0.0793145053015959, 0.469566855696115, 0.5484970085117707, 0.8018120748409902, 0.36678649793120266, 0.6538888863863015]"
