method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,0,completed,1.6137714385986328,4,128,GAT,TANH,ADD,ADAM,0.0005066417592856934,1e-05,32,7.702789,,0.19833136891032266
Optuna-tpe,1,completed,0.9125403165817261,4,64,GATED,RELU,MEAN,ADAM,0.0009962442152540748,1e-05,32,9.632904,,0.21511856962753395
Optuna-tpe,2,completed,0.5093355178833008,5,128,GATED,TANH,MEAN,ADAM,0.0004704069771235313,1e-05,16,47.915901,,0.15864516107609716
Optuna-tpe,3,completed,0.8216631412506104,3,64,GATED,TANH,ADD,ADAM,0.0003031836973748691,1e-05,16,27.213708,,0.10001152152159612
Optuna-tpe,4,completed,0.7512507438659668,3,64,GATED,TANH,MEAN,ADAM,0.0003443746324470967,1e-05,16,23.419777,,0.23911347728616594
Optuna-tpe,5,completed,0.649475634098053,4,64,GATED,RELU,ADD,ADAM,0.0025398929896048796,1e-05,32,14.778804,,0.12449331217506104
Optuna-tpe,6,completed,0.6213799118995667,4,128,GAT,RELU,MEAN,ADAM,0.0014920141026948588,1e-05,32,24.006558,,0.11904690630019629
Optuna-tpe,7,completed,0.7158018350601196,3,64,GATED,TANH,ADD,ADAM,0.0018792569464733502,1e-05,32,9.203256,,0.13446022002246025
Optuna-tpe,8,completed,0.7024048566818237,4,128,GATED,TANH,MEAN,ADAM,0.0020794353147522526,1e-05,32,12.504884,,0.13116425136554738
Optuna-tpe,9,completed,1.0705379247665405,4,128,GAT,TANH,ADD,ADAM,0.0013928586649733174,1e-05,32,10.31746,,0.1337674780722495
Optuna-tpe,10,completed,1.178532600402832,3,64,GAT,TANH,ADD,ADAM,0.002142906400270361,1e-05,32,6.866139,,0.24671952119848167
Optuna-tpe,11,completed,0.8637515902519226,5,64,GATED,RELU,ADD,ADAM,0.002836907002549921,1e-05,16,19.626272,,0.21293522825980338
Optuna-tpe,12,completed,1.1839817762374878,4,64,GAT,RELU,MEAN,ADAM,0.0022707017473554123,1e-05,16,33.781745,,0.18630809727824688
Optuna-tpe,13,completed,0.5506908893585205,3,64,GATED,RELU,MEAN,ADAM,0.0015831933620830423,1e-05,32,10.253918,,0.0011334581069332161
Optuna-tpe,14,completed,0.7748520970344543,3,128,GATED,RELU,MEAN,ADAM,0.00034855995199871605,1e-05,32,15.051706,,0.19459802173021268
Optuna-tpe,15,completed,0.8094834089279175,4,64,GATED,TANH,ADD,ADAM,0.0005843777060661147,1e-05,32,12.973607,,0.10351921901274475
Optuna-tpe,16,completed,0.8985423445701599,3,128,GAT,TANH,MEAN,ADAM,0.0003607885606847423,1e-05,32,21.7228,,0.08239071211259821
Optuna-tpe,17,completed,0.5190867781639099,4,128,GATED,TANH,MEAN,ADAM,0.0012694379077135682,1e-05,32,16.285216,,0.20855487401099293
Optuna-tpe,18,completed,1.1212249994277954,3,128,GAT,TANH,ADD,ADAM,0.002693358117000068,1e-05,16,13.343539,,0.061237985354749946
Optuna-tpe,19,completed,0.6739638447761536,3,128,GAT,RELU,MEAN,ADAM,0.0014812871546896523,1e-05,32,16.369958,,0.1456376278711173
Optuna-tpe,20,completed,0.5169598460197449,5,128,GATED,TANH,MEAN,ADAM,0.0008081582939031729,1e-05,16,36.988603,,0.16606066504156544
Optuna-tpe,21,completed,0.6118820905685425,5,128,GATED,TANH,MEAN,ADAM,0.000849041947048955,1e-05,16,21.950523,,0.1768929633207199
Optuna-tpe,22,completed,0.6025512218475342,5,128,GATED,TANH,MEAN,ADAM,0.0009582241750775023,1e-05,16,28.485978,,0.1655024546584473
Optuna-tpe,23,completed,1.2080340385437012,5,128,GATED,TANH,MEAN,ADAM,0.0006965244741944503,1e-05,16,13.330894,,0.15829442919019798
Optuna-tpe,24,completed,0.7651312351226807,5,128,GATED,TANH,MEAN,ADAM,0.0011654166910076249,1e-05,16,15.471379,,0.2183069223125903
Optuna-tpe,25,completed,0.5380595326423645,5,128,GATED,TANH,MEAN,ADAM,0.00044573582080758385,1e-05,16,30.585288,,0.1570796846160327
Optuna-tpe,26,completed,0.6082473397254944,5,128,GATED,TANH,MEAN,ADAM,0.0007296052338400448,1e-05,16,24.072068,,0.17328564633646337
Optuna-tpe,27,completed,0.612257182598114,5,128,GATED,TANH,MEAN,ADAM,0.0011535934323719387,1e-05,16,39.078766,,0.22923051049919047
Optuna-tpe,28,completed,0.5409520864486694,5,128,GATED,TANH,MEAN,ADAM,0.0006821684869866423,1e-05,16,28.446571,,0.2046068971487276
Optuna-tpe,29,completed,0.6369554400444031,4,128,GATED,TANH,MEAN,ADAM,0.00046979695691166864,1e-05,16,31.64154,,0.19086461238477204
Optuna-tpe,30,completed,1.3111317157745361,5,128,GATED,TANH,MEAN,ADAM,0.0005498136770586804,1e-05,16,13.318503,,0.048542040018015806
Optuna-tpe,31,completed,0.5116385221481323,5,128,GATED,TANH,MEAN,ADAM,0.00043792947558603023,1e-05,16,54.355349,,0.150028433295585
Optuna-tpe,32,completed,0.5014098882675171,5,128,GATED,TANH,MEAN,ADAM,0.0004000060729981131,1e-05,16,43.547013,,0.15524263118512457
Optuna-tpe,33,completed,0.4967195391654968,5,128,GATED,TANH,MEAN,ADAM,0.0004011180168931453,1e-05,16,37.13438,,0.1516952068001422
Optuna-tpe,34,completed,0.5456761717796326,5,128,GATED,TANH,MEAN,ADAM,0.00040802943426527643,1e-05,16,32.62988,,0.15053755567757252
Optuna-tpe,35,completed,0.5244412422180176,5,128,GATED,TANH,MEAN,ADAM,0.0003012879214361234,1e-05,16,39.119679,,0.11008288062964694
Optuna-tpe,36,completed,0.7606344819068909,5,128,GATED,TANH,MEAN,ADAM,0.00038790076173806905,1e-05,16,21.937995,,0.08252297600125724
Optuna-tpe,37,completed,0.7043121457099915,5,128,GATED,TANH,MEAN,ADAM,0.0005481609954771474,1e-05,16,19.830114,,0.14320713314859224
Optuna-tpe,38,completed,0.5480462312698364,5,128,GATED,TANH,MEAN,ADAM,0.00048309291480510115,1e-05,16,30.602442,,0.12260408154135255
Optuna-tpe,39,completed,0.6292492151260376,5,128,GATED,TANH,MEAN,ADAM,0.000410472851436341,1e-05,16,28.285616,,0.17627611713736185
Optuna-tpe,40,completed,0.4769970774650574,5,128,GATED,TANH,MEAN,ADAM,0.000635504905801635,1e-05,16,49.851322,,0.1364173366681391
Optuna-tpe,41,completed,0.5289273858070374,5,128,GATED,TANH,MEAN,ADAM,0.0006177890439324974,1e-05,16,24.058826,,0.13383557046054798
Optuna-tpe,42,completed,1.7032639980316162,5,128,GATED,TANH,MEAN,ADAM,0.000508327160533198,1e-05,16,9.004138,,0.11574496570198414
Optuna-tpe,43,completed,0.4587792754173279,5,128,GATED,TANH,MEAN,ADAM,0.00032329859460641935,1e-05,16,49.760675,,0.1407923578490135
Optuna-tpe,44,completed,0.7778921127319336,5,128,GATED,TANH,ADD,ADAM,0.0003620348742558979,1e-05,16,27.58879,,0.09657158848478631
Optuna-tpe,45,completed,0.9310222268104553,5,64,GATED,RELU,MEAN,ADAM,0.0003839743375371034,1e-05,16,26.45252,,0.14148769117985582
