method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout,x
BoTorch,0,completed,1.9279640913009644,4,512,GIN,GELU,MEAN_MAX,SGD,0.0010024304628205674,1e-06,256,3.6488318399933632,,0.0718873285809759,"[0.6857670283648816, 0.9513130086798975, 0.9452501525664193, 0.6864919583761063, 0.7416037194195765, 0.7945993078147532, 0.6670180853149486, 0.1731124963616446, 0.8961633133002135, 0.1437746571619518]"
BoTorch,1,completed,4.863687992095947,3,256,GATED,TANH,MEAN_MAX,ADAMW,0.00039587650651412104,1e-05,64,1.5212381000019377,,0.3950300075841671,"[0.325994711097894, 0.6674725479187992, 0.7165675708600753, 0.3032174411079883, 0.7167093909034093, 0.30356319037275237, 0.532519909699143, 0.3336009430875464, 0.5491598836435754, 0.7900600151683342]"
BoTorch,2,completed,1.641524076461792,5,64,GIN,ELU,ADD,SGD,0.0007240518433312036,1e-05,64,2.772187541006133,,0.0688832892575178,"[0.8138252237884649, 0.2099845736954462, 0.8883896938124509, 0.9571496925141372, 0.8480512216516937, 0.903287521679967, 0.6199232211755592, 0.43699289004033526, 0.573592146656265, 0.1377665785150356]"
BoTorch,3,completed,3.303422451019287,3,128,GRAPH_SAGE,TANH,MAX,ADAM,5.210713836129746e-05,0.01,256,2.105635952000739,,0.26130163253607286,"[0.4535212353073832, 0.5410049553276004, 0.28982409204268234, 0.26351062551330795, 0.3279507432814288, 0.005728317171281527, 0.23896574102665347, 0.9569178660291653, 0.8849756671011445, 0.5226032650721457]"
BoTorch,4,completed,2.6251535415649414,5,32,GIN,TANH,ADD,RMSPROP,0.002597678733553404,0.01,32,11.21587116101,,0.21394956267201348,"[0.9178454477132464, 0.16052082964415004, 0.8266556313592947, 0.36893891532051915, 0.9837683809932563, 0.6221017172283204, 0.804861812977975, 0.8991648365787162, 0.30671084808593574, 0.42789912534402696]"
BoTorch,5,completed,4.206821441650391,3,256,GATED,TANH,MAX,SGD,0.0012230174347954204,1e-05,32,2.3930900510022184,,0.14077066376052816,"[0.4252130172192956, 0.6763063056272539, 0.6158198096972536, 0.47348771451199323, 0.275319377949341, 0.9548877739413436, 0.695810882730131, 0.4531265409617199, 0.283334742996901, 0.2815413275210563]"
BoTorch,6,completed,1.4115664958953857,2,64,GIN,RELU,ADD,SGD,2.4641574048499718e-05,0.001,128,5.547026045009261,,0.3240141176454607,"[0.09132808348474908, 0.3984804500240118, 0.804579714375663, 0.1162950772402287, 0.8717398041830701, 0.9487889090944456, 0.13055614871206989, 0.7157355267041943, 0.664135517745273, 0.6480282352909214]"
BoTorch,7,completed,5.295445919036865,3,128,GRAPH_SAGE,ELU,MEAN_MAX,RMSPROP,1.650420271946623e-05,1e-05,16,4.720109838002827,,0.4983080870511297,"[0.3268766236997661, 0.4560992214285332, 0.31933853797368295, 0.9609804147662512, 0.5608703928812047, 0.5029079427181571, 0.07253151646446909, 0.33915582533669575, 0.03391208932902334, 0.9966161741022594]"
BoTorch,8,completed,7.552886009216309,5,512,GRAPH_SAGE,RELU,MAX,ADAMW,0.00015867643308324172,0.0,128,0.9926589550013887,,0.2392665189590117,"[0.9316247419324998, 0.8074502216703916, 0.38676120415955506, 0.21590221262124598, 0.39782329306618014, 0.3103877951984245, 0.40017080977540276, 0.09853557444213146, 0.6317248861713862, 0.4785330379180234]"
BoTorch,9,completed,3.8800063133239746,3,64,GCN,TANH,MEAN,ADAMW,1.1140447751352178e-05,0.0,16,8.961123856992344,,0.2289058840647079,"[0.27204800943798646, 0.2763128055745053, 0.05905840248755512, 0.2861961495948264, 0.09549486673510965, 0.394188156828273, 0.015634215378989014, 0.07098139804019898, 0.015104985120160341, 0.4578117681294158]"
BoTorch,10,completed,4.910804748535156,3,128,GAT,TANH,MEAN_MAX,ADAMW,0.0016087473211421502,0.01,64,2.317592685998534,,0.12300818272092456,"[0.34002728908331203, 0.5808946075506395, 0.5660513971194061, 0.2724461498312333, 0.6393939516762532, 0.36876170580513135, 0.7354959455778279, 0.8853515384130014, 0.40374614037552214, 0.24601636544184913]"
