method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,0,completed,1.6384958028793335,5,32,GIN,TANH,MAX,ADAMW,0.0002726822783314544,0.001,256,4.840204,,0.12501521392197956
Optuna-tpe,1,completed,6.0868940353393555,3,256,GATED,TANH,MAX,ADAMW,1.5578186107123123e-05,0.001,256,0.786277,,0.4953893516143245
Optuna-tpe,2,completed,4.250064849853516,5,256,GIN,TANH,MEAN_MAX,RMSPROP,0.009267396165605265,0.0,256,0.770956,,0.11335797908196338
Optuna-tpe,3,completed,3.1512396335601807,3,64,GRAPH_SAGE,RELU,ADD,SGD,0.0006513951182629783,0.0,256,0.426801,,0.4660596249295511
Optuna-tpe,4,completed,29.378870010375977,4,512,GATED,ELU,MAX,RMSPROP,0.006465329726816392,0.0001,16,6.35473,,0.2945871612088011
Optuna-tpe,5,completed,5.104981899261475,5,512,GATED,ELU,MEAN_MAX,ADAM,0.007131174553363452,0.0,16,17.280037,,0.09668974655040585
Optuna-tpe,6,completed,1.5699856281280518,4,64,GATED,ELU,ADD,SGD,0.000122817335815728,1e-05,128,5.399429,,0.16601258765516824
Optuna-tpe,7,completed,1.718752384185791,5,32,GIN,GELU,ADD,RMSPROP,0.0004001039605230458,0.01,128,1.605168,,0.34199089050398546
Optuna-tpe,8,completed,1.3976167440414429,2,64,GCN,RELU,MEAN,ADAMW,0.0006510971704253452,0.0001,64,12.533771,,0.25559226044807537
Optuna-tpe,9,completed,9.796639442443848,2,64,GRAPH_SAGE,RELU,MAX,ADAMW,0.0027819928338331736,1e-06,32,1.911773,,0.38842179306606456
Optuna-tpe,10,completed,3.798903703689575,4,256,GIN,GELU,MAX,ADAM,1.9071931489082866e-05,0.01,32,2.969432,,0.26925248644980254
