method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout,x
Random,0,completed,1.1275583505630493,4,64,GAT,TANH,MEAN,ADAM,0.001241324136015151,1e-05,32,16.72789969301084,,0.2483124920042831,"[0.5794227209057671, 0.2858309869377962, 0.573376995099584, 0.7252814098589314, 0.921677997915992, 0.8110545008244947, 0.616763945072451, 0.7397243776756244, 0.838596381985409, 0.9932499680171324]"
Random,1,completed,0.9742936491966248,5,128,GATED,TANH,ADD,ADAM,0.0005650742118777722,1e-05,32,9.375671304005664,,0.18084906316653301,"[0.6758346704474402, 0.6393132462449835, 0.11440766289016058, 0.6453180584110448, 0.1144974966614456, 0.6011913649826056, 0.2749842332635384, 0.1889362559831722, 0.931829710670956, 0.7233962526661321]"
Random,2,completed,0.5368344187736511,5,64,GATED,RELU,MEAN,ADAM,0.0006478712040663401,1e-05,16,29.902567806013394,,0.17666759525267164,"[0.9306377918205935, 0.1618455506523535, 0.03553209979907801, 0.17579498401002502, 0.8038047436846439, 0.5832453032650708, 0.33436742256628615, 0.5440620770272249, 0.033072276984993265, 0.7066703810106866]"
Random,3,completed,0.582859456539154,5,64,GATED,TANH,MEAN,ADAM,0.0007261545136012005,1e-05,32,19.75764454799355,,0.22242330032770735,"[0.9323849147726326, 0.23509784078161222, 0.06780868970369247, 0.7824652881107915, 0.6791200453497633, 0.6162236776378617, 0.38390778645498125, 0.5538049557961416, 0.6854317801427792, 0.8896932013108294]"
Random,4,completed,0.857305645942688,3,64,GATED,TANH,ADD,ADAM,0.0010320142387745023,1e-05,16,16.49118442798499,,0.24739598646363112,"[0.3043897426651522, 0.4778614215460122, 0.4659916125846406, 0.6408134908987109, 0.4431796119327229, 0.6701252745325806, 0.5365644346049949, 0.788258675580768, 0.18538029066423667, 0.9895839458545245]"
Random,5,completed,0.7817909717559814,4,64,GATED,RELU,ADD,ADAM,0.0012444493128103914,1e-05,32,16.452263684972422,,0.19395252275575228,"[0.33454865117953636, 0.3694636914532118, 0.35128820991881193, 0.4782392527811514, 0.4226202750362035, 0.17224222255355892, 0.6178559575025315, 0.6849746578890118, 0.6478368642915897, 0.7758100910230091]"
Random,6,completed,0.646988570690155,5,64,GATED,RELU,ADD,ADAM,0.0006652734212826276,1e-05,16,34.25225194299128,,0.04276724220458275,"[0.8478998499746645, 0.267887462831616, 0.38758296942167636, 0.29637785394876304, 0.04822089017020392, 0.8943431373054834, 0.3458789183267651, 0.7108645436683673, 0.3980942808974506, 0.171068968818331]"
Random,7,completed,0.8370499610900879,3,128,GATED,TANH,ADD,ADAM,0.0006140462950559285,1e-05,32,9.896160348987905,,0.10838527771807199,"[0.27543981554216423, 0.6369567859615545, 0.2614471798083614, 0.7471411744041665, 0.40225413978252555, 0.1712695646418314, 0.3110798606061824, 0.9407846806106069, 0.8571833125199112, 0.43354111087228797]"
Random,8,completed,0.7797838449478149,4,128,GAT,TANH,MEAN,ADAM,0.0003259786710347984,1e-05,16,49.35830704300315,,0.00535265270116797,"[0.4157794109966275, 0.8969456862046931, 0.7773606419767806, 0.942195885726288, 0.6098310165621984, 0.21504516458695988, 0.03606793014910925, 0.5140637908341595, 0.23790539397017707, 0.02141061080467188]"
Random,9,completed,0.6222373247146606,4,128,GATED,RELU,MEAN,ADAM,0.0009895993910164313,1e-05,32,8.60319659500965,,0.10622946844558576,"[0.3929067180858713, 0.9283608117972476, 0.4653328850402034, 0.1485284542607529, 0.718742135365646, 0.25385355023585177, 0.5183381646436361, 0.9463300971225378, 0.7419208704355308, 0.424917873782343]"
Random,10,completed,0.5749643445014954,4,128,GATED,RELU,MEAN,ADAM,0.00033351081716711254,1e-05,16,40.63800592397456,,0.18935591834579293,"[0.4258131357533973, 0.5510828371441431, 0.1581579781927943, 0.21214811784289467, 0.6912747709677343, 0.9685561309445758, 0.04598866976918892, 0.7641451333586745, 0.37697201899645916, 0.7574236733831717]"
Random,11,completed,1.740391731262207,5,64,GAT,TANH,ADD,ADAM,0.002450934082070064,1e-05,16,35.66637484601233,,0.21206039881448052,"[0.6710390493249592, 0.005099742615754077, 0.5847344299164632, 0.68188399840434, 0.3953176955451603, 0.049261548998892235, 0.9122103763291519, 0.39908521051698964, 0.31500430143509117, 0.8482415952579221]"
Random,12,completed,0.5423291921615601,5,64,GATED,TANH,MEAN,ADAM,0.0008104044960439724,1e-05,16,30.734332555992296,,0.11643923251638821,"[0.8475038912164385, 0.45541939728299385, 0.1086053421614136, 0.9033596829496264, 0.9815611210740015, 0.40319654621048673, 0.4315805870620669, 0.17198459758598206, 0.08189801435017474, 0.46575693006555285]"
Random,13,completed,0.5008671283721924,4,128,GATED,TANH,MEAN,ADAM,0.0016856486296308636,1e-05,32,18.002146597980754,,0.03013112544506502,"[0.44567759455692735, 0.7288526205701612, 0.08426793779146924, 0.8548947936673846, 0.8288401094909141, 0.6719961576616772, 0.7496457971137083, 0.8338483777785478, 0.8058774241650482, 0.12052450178026008]"
Random,14,completed,1.1273704767227173,3,64,GATED,TANH,ADD,ADAM,0.0003105237106521604,1e-05,32,6.100734496023506,,0.020418181602365276,"[0.08948704401709451, 0.44581810161073576, 0.16197902110263684, 0.7100766111617908, 0.05312195997971936, 0.26316288119617703, 0.014973512473278605, 0.5115862637621782, 0.9709193955301765, 0.0816727264094611]"
Random,15,completed,0.7593412399291992,5,128,GAT,RELU,MEAN,ADAM,0.0008875394541921723,1e-05,32,22.419190117012477,,0.020629429122626664,"[0.7738273357460765, 0.5494278408068917, 0.7149807933417804, 0.3029272877830188, 0.5628042197442169, 0.465837249612465, 0.47106641332532084, 0.18589217392870028, 0.9349783346058508, 0.08251771649050665]"
Random,16,completed,1.3175005912780762,5,128,GAT,TANH,MEAN,ADAM,0.0007860517943028447,1e-05,16,35.98089026499656,,0.22100022512777637,"[0.9219114882701445, 0.6546501405102214, 0.5440443678363396, 0.7605432905506251, 0.9303868312349496, 0.4650094230874299, 0.4183299086719334, 0.23761244312859564, 0.2940436124244541, 0.8840009005111055]"
Random,17,completed,1.3633286952972412,5,128,GAT,TANH,MEAN,ADAM,0.0007543162579465186,1e-05,16,71.23190156900091,,0.23181009949683404,"[0.8212115615623167, 0.8749178206368365, 0.6893177363437455, 0.7660079625867484, 0.6073817760314153, 0.8156408839052347, 0.4004322135429723, 0.3048403356233408, 0.3972356937916445, 0.9272403979873362]"
Random,18,completed,0.8254655599594116,4,64,GAT,RELU,ADD,ADAM,0.002060222908564446,1e-05,16,42.54196734901052,,0.045780205583997896,"[0.33461267657145677, 0.17854441492031836, 0.9748612228101926, 0.11719434417435926, 0.08535217596674216, 0.08402691205273571, 0.8367929572622025, 0.48863032861931244, 0.4059299452516081, 0.18312082233599158]"
Random,19,completed,0.8383429646492004,4,64,GATED,TANH,ADD,ADAM,0.0019244927692145327,1e-05,16,11.104284166998696,,0.043870856830928645,"[0.5474873644710927, 0.14444829506847745, 0.15168627884600872, 0.7439118335160588, 0.2917573542187606, 0.5966453680035577, 0.8071950289644532, 0.4015122747215213, 0.33045700250260224, 0.17548342732371458]"
Random,20,completed,0.8105704188346863,4,128,GAT,TANH,MEAN,ADAM,0.0009225922808669449,1e-05,32,25.199072432005778,,0.1312179701660695,"[0.542302117680535, 0.6319180931289974, 0.644795792181376, 0.8005262415599288, 0.7712608040056486, 0.346151990121755, 0.4878885619183828, 0.6898919502252903, 0.7255247551024913, 0.524871880664278]"
Random,21,completed,0.6726208925247192,3,64,GAT,RELU,MEAN,ADAM,0.0028294470288594553,1e-05,32,22.76978781601065,,0.20426846689978906,"[0.03936577283881815, 0.2834865561767701, 0.8960010272836246, 0.20816410082002756, 0.5173962146451728, 0.07969199302490204, 0.974580313037678, 0.9023213202199822, 0.6312196399273073, 0.8170738675991562]"
Random,22,completed,0.6909956932067871,4,128,GATED,TANH,ADD,ADAM,0.0007157683854582246,1e-05,16,27.021672689006664,,0.2362580559105994,"[0.4188659330967678, 0.7674985215909711, 0.2920737438432789, 0.7191682488953106, 0.30220586254150905, 0.5515459356194741, 0.3776512575457578, 0.008405746462785801, 0.08281675721438886, 0.9450322236423976]"
Random,23,completed,0.6083075404167175,4,128,GAT,RELU,MEAN,ADAM,0.0006314342435283565,1e-05,32,33.68973919400014,,0.14543150158307688,"[0.4010137507594952, 0.7601999140057911, 0.5243877748776712, 0.3412573175584682, 0.5889764930670084, 0.6160808833249298, 0.32320687584911223, 0.7788637461649575, 0.9466803512475789, 0.5817260063323075]"
Random,24,completed,0.7478271126747131,3,64,GATED,RELU,ADD,ADAM,0.0018770887448204903,1e-05,32,6.107250194007065,,0.0820018498537809,"[0.06998911153318754, 0.017694023132353798, 0.27521020623333015, 0.32754158074745154, 0.10135620622312802, 0.3223958182626594, 0.7963635509196615, 0.7986531997763232, 0.7987101551171492, 0.3280073994151236]"
Random,25,completed,1.5838649272918701,5,64,GAT,TANH,ADD,ADAM,0.0003465655824292479,1e-05,16,23.962929898989387,,0.17958598929518987,"[0.6871769757342865, 0.37817304437491317, 0.5283200226757188, 0.9065974853179289, 0.1617413596860402, 0.9426210189476443, 0.06266417583582418, 0.9973739653022478, 0.012425114591017916, 0.7183439571807595]"
Random,26,completed,0.7408870458602905,5,128,GAT,RELU,MEAN,ADAM,0.0018732647035922866,1e-05,16,47.81854062899947,,0.006134013215149503,"[0.9140584156248605, 0.735550145129685, 0.730597675983557, 0.49602097959091473, 0.6626491444599696, 0.25922638006651166, 0.7954778954195182, 0.7418731487365612, 0.3279753335522918, 0.024536052860598012]"
Random,27,completed,0.6577703356742859,3,128,GATED,TANH,ADD,ADAM,0.00045829074922983944,1e-05,16,25.162294634006685,,0.031097589542526477,"[0.030052347268556545, 0.7804861289293761, 0.4746259231945482, 0.8715885732496688, 0.44176642773809527, 0.08274142564560927, 0.18401983621706852, 0.35137856542903156, 0.33196102564008956, 0.12439035817010591]"
Random,28,completed,1.0086218118667603,3,128,GAT,RELU,MEAN,ADAM,0.001303466075379652,1e-05,16,44.544418020988815,,0.1796787046074766,"[0.1604912861426545, 0.9629193584417577, 0.6817453120654535, 0.09235002302103945, 0.8010383488799045, 0.1773213256131062, 0.6379784777795883, 0.6035215579590322, 0.29798758373019796, 0.7187148184299064]"
Random,29,completed,0.7562317252159119,4,64,GAT,RELU,MEAN,ADAM,0.0010507111447225076,1e-05,32,21.935168328986038,,0.18524546658163704,"[0.6020320682998775, 0.28637176026981315, 0.8366947251517918, 0.33948840755202236, 0.7956602766258704, 0.4083528244183827, 0.5443620840533478, 0.971111831420206, 0.5268537192149396, 0.7409818663265482]"
Random,30,completed,1.5459673404693604,3,64,GAT,TANH,MEAN,ADAM,0.0019490905631621607,1e-05,32,8.159030329989037,,0.17932868312966435,"[0.07829235601716211, 0.38965757083240404, 0.8599027628864434, 0.8336875247840903, 0.5761681574080921, 0.546220426111058, 0.8127107640633412, 0.7582286945747928, 0.6299833833889698, 0.7173147325186574]"
Random,31,completed,0.538249671459198,5,128,GAT,RELU,MEAN,ADAM,0.00040603192997436385,1e-05,32,46.549826442991616,,0.19781199005914632,"[0.7157990213241119, 0.6039154743233692, 0.8454101701534502, 0.2386568932030887, 0.9851710205900659, 0.5007964163185533, 0.13143893271569618, 0.2884343534760233, 0.7326897879804898, 0.7912479602365853]"
Random,32,completed,1.296325445175171,4,128,GATED,RELU,ADD,ADAM,0.0006516017783493695,1e-05,32,3.8278421990107745,,0.05002913167070183,"[0.6554199280782874, 0.77644461445318, 0.19604730520460179, 0.33250421155304655, 0.45695698946681684, 0.11139040016686608, 0.3368610061934576, 0.30175606370270414, 0.6628200777141784, 0.20011652668280733]"
Random,33,completed,0.5374504923820496,3,64,GATED,TANH,MEAN,ADAM,0.0013119359371002244,1e-05,16,21.60572164101177,,0.16476985983454834,"[0.2609087088002766, 0.4158287785106064, 0.28743987763400414, 0.8405609893900401, 0.6275490369500354, 0.4505004646347428, 0.6407913738846546, 0.47791412256777355, 0.10928750134914711, 0.6590794393381934]"
Random,34,completed,0.5291163325309753,5,64,GATED,TANH,MEAN,ADAM,0.0012139489819202147,1e-05,32,17.58853743900545,,0.004008157249847766,"[0.7847010095281719, 0.13218750500981957, 0.21850114348103755, 0.8647375649974882, 0.7148445508108352, 0.9891400278651084, 0.6070791805071296, 0.0315350437051064, 0.7423255594108208, 0.016032628999391063]"
Random,35,completed,0.8092857003211975,5,128,GAT,TANH,MEAN,ADAM,0.001366182470079251,1e-05,16,31.953942838998046,,0.09312071333905989,"[0.7505393993157317, 0.7687883308845361, 0.9173906056520578, 0.924747948024927, 0.870523682838067, 0.01473730305516785, 0.6583874537445806, 0.3364891915643803, 0.34201747803055305, 0.37248285335623954]"
Random,36,completed,0.5902116298675537,3,128,GATED,TANH,MEAN,ADAM,0.001468137282830429,1e-05,16,18.35222645101021,,0.04525342210483227,"[0.323902457724381, 0.527755779764026, 0.037411507414401024, 0.6226944219387968, 0.8503690219866759, 0.8301892758889712, 0.6896454128413804, 0.6224016546774402, 0.35883699346479914, 0.18101368841932908]"
Random,37,completed,0.851285457611084,4,128,GATED,TANH,ADD,ADAM,0.00046751366847943497,1e-05,16,21.625111781992018,,0.19249314617087013,"[0.498035932805278, 0.7040045826001404, 0.4023649760300235, 0.9703899099525388, 0.12846703041838525, 0.6661755626614245, 0.19267305794003464, 0.055754400342362564, 0.050098673678426464, 0.7699725846834805]"
Random,38,completed,0.6077023148536682,4,128,GATED,TANH,MEAN,ADAM,0.001731845577072523,1e-05,32,10.477252031996613,,0.12122337409776368,"[0.42245836842742357, 0.6423612740409069, 0.14765426756599198, 0.5406332115791792, 0.9068768464882414, 0.6272233961202923, 0.7613879100891614, 0.034782871339118615, 0.7488709585688778, 0.4848934963910547]"
Random,39,completed,1.649476170539856,4,128,GAT,TANH,MEAN,ADAM,0.002586314648083377,1e-05,16,16.744777326006442,,0.16641034555210862,"[0.5895868548850708, 0.8649308333714092, 0.6679058239846267, 0.6422683017434646, 0.5470151657085304, 0.5397097960498202, 0.9355601048091204, 0.037852495533576946, 0.05049336170454721, 0.6656413822084345]"
Random,40,completed,0.7044762372970581,4,64,GATED,TANH,MEAN,ADAM,0.0006209976557875846,1e-05,32,14.083070722001139,,0.15401688610701753,"[0.5419574712156873, 0.06374067411861806, 0.39528650468267135, 0.5278848602145351, 0.6090064054161515, 0.8278174728194774, 0.3159687060359223, 0.1709340127558644, 0.64744286879171, 0.6160675444280701]"
Random,41,completed,1.1296817064285278,4,128,GAT,TANH,MEAN,ADAM,0.0003412852998732709,1e-05,32,16.88391986800707,,0.026984850638164276,"[0.5669423116975938, 0.6786448631474846, 0.9694115605993946, 0.721521849092328, 0.52983081799683, 0.6061238251036586, 0.05599632766559148, 0.31882175945549984, 0.7246158000462132, 0.1079394025526571]"
Random,42,completed,0.5714457035064697,5,128,GATED,TANH,MEAN,ADAM,0.0006056113714450551,1e-05,32,15.564410485007102,,0.14251891236067388,"[0.878511639756322, 0.9032554274060679, 0.4300238873432498, 0.5827792947557536, 0.588674118931163, 0.28696200866356003, 0.3050727665105857, 0.8194043275025658, 0.8568865062163492, 0.5700756494426955]"
Random,43,completed,0.6319286227226257,4,64,GATED,RELU,MEAN,ADAM,0.002207593751231636,1e-05,16,29.878112573002,,0.1160746553792791,"[0.6420569664447087, 0.37289315070997897, 0.04502061573857319, 0.3013006364545393, 0.6840159740262783, 0.12494934798869972, 0.8667979013704923, 0.630863847620308, 0.3080121833339283, 0.4642986215171164]"
Random,44,completed,0.7530609369277954,4,128,GATED,TANH,ADD,ADAM,0.00034177719343327166,1e-05,16,25.212986575003015,,0.12188703789731231,"[0.6188606626323222, 0.7947032608168484, 0.07181422916922431, 0.8910055186511218, 0.08076700823509697, 0.25596520176146176, 0.05662182444755037, 0.15107116745976545, 0.4128114190829818, 0.48754815158924925]"
Random,45,completed,0.639714777469635,5,128,GAT,RELU,MEAN,ADAM,0.00032829168757688397,1e-05,16,59.605767812987324,,0.21900130350566735,"[0.9290598926723643, 0.7302941955679033, 0.6338753273374248, 0.17145155176312787, 0.5019053672884837, 0.1936088374160334, 0.03913863170997067, 0.6651131911005368, 0.4167801135996295, 0.8760052140226694]"
Random,46,completed,1.4085094928741455,4,64,GATED,RELU,MEAN,ADAM,0.0003549282448571116,1e-05,32,7.5940773830225226,,0.21314805608287934,"[0.4380487886938015, 0.31961345513527595, 0.02917646342525526, 0.49868749174575855, 0.7848531426363146, 0.3372251008285002, 0.0730193067510383, 0.5459981076140772, 0.7093098706412979, 0.8525922243315174]"
Random,47,completed,1.079046607017517,3,64,GATED,RELU,ADD,ADAM,0.00040364314736620114,1e-05,16,14.995707555004628,,0.14049421524040268,"[0.20699088756603556, 0.30129944869190994, 0.29445211025012563, 0.24983131979465134, 0.2515334426221656, 0.9839636707085158, 0.12887632916206093, 0.6081889387337639, 0.41848673748641996, 0.5619768609616107]"
Random,48,completed,0.8759976029396057,4,128,GAT,RELU,MEAN,ADAM,0.00042188732169416883,1e-05,32,23.60177696001483,,0.11323458223867958,"[0.3563157142621508, 0.9136667006093308, 0.6071494404705879, 0.05385374431278067, 0.5236937356215322, 0.11316992294643435, 0.14807521969991733, 0.6445408343229547, 0.5254545328794595, 0.4529383289547183]"
Random,49,completed,1.2405439615249634,4,128,GAT,TANH,MEAN,ADAM,0.0023462892512458376,1e-05,16,29.777620829001535,,0.14857836987294745,"[0.42340566777261224, 0.9481866902356704, 0.8472552962208687, 0.7920881932843739, 0.8076382185697014, 0.7047682987407323, 0.8932602963149132, 0.02325722119045537, 0.0023315216050160403, 0.5943134794917898]"
Random,50,completed,0.7750716209411621,5,64,GATED,RELU,ADD,ADAM,0.0007552797357427245,1e-05,32,14.0148263029987,,0.16956133142804655,"[0.8269067899103614, 0.40422955046728926, 0.29002230943461627, 0.14280344414962143, 0.30018567851832023, 0.7829160604619881, 0.4009865779542363, 0.31885324491126155, 0.5968273809784891, 0.6782453257121862]"
Random,51,completed,0.8176388144493103,4,128,GATED,TANH,ADD,ADAM,0.0006869355498026815,1e-05,16,16.287506338994717,,0.06086470623618581,"[0.5615129296864978, 0.6470988439515838, 0.484032074125185, 0.5051594893906352, 0.23855718412939253, 0.2636252276269666, 0.3597947375391911, 0.34575888532669197, 0.06042222914736661, 0.24345882494474325]"
Random,52,completed,0.5854687094688416,5,128,GAT,RELU,MEAN,ADAM,0.00032238934389071914,1e-05,16,106.94424050598172,,0.12667561715864026,"[0.9708932101761651, 0.5069330304627805, 0.6213705563225952, 0.4295625857684313, 0.8579060099424021, 0.3953309521714664, 0.03125942368031831, 0.31506896333398837, 0.03887126539184205, 0.506702468634561]"
Random,53,completed,1.0025032758712769,5,64,GAT,TANH,ADD,ADAM,0.00043130079884173464,1e-05,32,14.192960518994369,,0.08424473333096258,"[0.7028085153594581, 0.11967246187617708, 0.9452038925957509, 0.9793731035818314, 0.09439036476707596, 0.008266316720922817, 0.157659007813574, 0.9319694457436647, 0.817361736061205, 0.3369789333238503]"
Random,54,completed,1.0653882026672363,3,64,GATED,TANH,ADD,ADAM,0.0003003871318129237,1e-05,32,6.845506169978762,,0.09413643943361036,"[0.22127435745442048, 0.33511669910879394, 0.08131295132363581, 0.8012627141152091, 0.17786719514476446, 0.8345936258384926, 0.0005600694102666504, 0.02411724676304272, 0.7288406521510643, 0.37654575773444143]"
Random,55,completed,1.0317184925079346,5,64,GATED,RELU,ADD,ADAM,0.00033283792991129586,1e-05,32,8.708272276999196,,0.212159118593844,"[0.9533843102007797, 0.2364752753834829, 0.10572193673103114, 0.0605989455598972, 0.3298186929468887, 0.23506325161026198, 0.045111557528017765, 0.8050083397680775, 0.7786726707404847, 0.848636474375376]"
Random,56,completed,1.0729739665985107,5,128,GAT,TANH,MEAN,ADAM,0.0003240825231624059,1e-05,16,43.75501815302414,,0.09645623390054572,"[0.7252706444249005, 0.9927177845884917, 0.9009175150661808, 0.6885081466895625, 0.5123903657116079, 0.836557363526101, 0.033534356692736855, 0.7513585082270589, 0.26789642993014473, 0.3858249356021829]"
Random,57,completed,0.7420232892036438,5,64,GATED,RELU,ADD,ADAM,0.0016374383261515935,1e-05,16,23.62194618198555,,0.13398149299963105,"[0.9820112417379263, 0.48248773889079943, 0.15116213727102756, 0.2878531910089003, 0.42047151632835755, 0.39650551272863477, 0.7370436966211333, 0.20191161148261239, 0.14020717464538912, 0.5359259719985242]"
Random,58,completed,0.8776117563247681,3,128,GAT,RELU,ADD,ADAM,0.00038160985455478743,1e-05,32,14.58480745300767,,0.16054596606401486,"[0.023484801047209403, 0.7167629186518629, 0.6393467401576401, 0.07403310822856557, 0.14835324502183544, 0.4069650216384081, 0.10449832652074287, 0.8873298037663663, 0.8981850225277587, 0.6421838642560594]"
Random,59,completed,1.5279656648635864,5,64,GATED,TANH,MEAN,ADAM,0.0003577701426285695,1e-05,32,6.715445684996666,,0.09739107171753214,"[0.8891707647025452, 0.0691792813119273, 0.09545454318059599, 0.6562273315574404, 0.5694461070793302, 0.5200157960265708, 0.07648283938561229, 0.9939592754652644, 0.7359883201411848, 0.38956428687012856]"
Random,60,completed,1.8674510717391968,3,64,GAT,TANH,ADD,ADAM,0.0005761105927161912,1e-05,32,6.715477474004729,,0.13851403051912142,"[0.28350729417847653, 0.0671887912937239, 0.8163556179629436, 0.9680369475910666, 0.09628697331710612, 0.5820440454862923, 0.28338460578007607, 0.3667906128109891, 0.6421222340020849, 0.5540561220764857]"
Random,61,completed,1.212717056274414,3,128,GAT,RELU,MEAN,ADAM,0.00242833516133028,1e-05,32,17.45168604198261,,0.15493773704987968,"[0.3300710566193654, 0.780944618702891, 0.6929389434874976, 0.4573767109194591, 0.699596140587613, 0.2074287500526505, 0.9081873735940776, 0.29346324083151387, 0.7268542937984044, 0.6197509481995187]"
Random,62,completed,0.6426430940628052,3,128,GAT,RELU,MEAN,ADAM,0.0007913888157546838,1e-05,16,49.705764514015755,,0.07848654983073372,"[0.2000174581829569, 0.6107138604918932, 0.5976720041066939, 0.043695459150835836, 0.7096409486215963, 0.10824470322796786, 0.4212686536182977, 0.28788182340717594, 0.219518595891243, 0.3139461993229349]"
Random,63,completed,0.6698339581489563,3,128,GATED,RELU,MEAN,ADAM,0.00035698174863543097,1e-05,32,17.9478553890076,,0.2021361217363645,"[0.19027226656595653, 0.6257846626906716, 0.20305047537150023, 0.2311069358597423, 0.6790420943850507, 0.342412429952209, 0.07552475783638524, 0.35539929356050626, 0.984503575829845, 0.808544486945458]"
Random,64,completed,1.24748957157135,3,128,GAT,TANH,ADD,ADAM,0.0003195068677688631,1e-05,32,13.239710611989722,,0.101162140569101,"[0.32971109144884214, 0.8030985247194256, 0.7343462459911309, 0.9031269484719081, 0.2740141869573405, 0.4774362808630137, 0.02735894299248509, 0.7264886497392629, 0.5508566529293212, 0.404648562276404]"
Random,65,completed,1.0194079875946045,4,64,GAT,RELU,ADD,ADAM,0.0029113196604169515,1e-05,16,16.662070080987178,,0.221980100571945,"[0.42210509544677877, 0.2314214326556162, 0.9944871414686874, 0.2753774886855923, 0.2127463630806966, 0.26731824405828375, 0.9869686385011325, 0.14479043607474307, 0.47923534476295016, 0.88792040228778]"
