method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,0,completed,0.5883051156997681,4,64,GATED,TANH,MEAN,ADAM,0.000613407676432514,1e-05,32,15.452233,,0.06035869171965427
Optuna-tpe,1,completed,0.8602327704429626,5,128,GAT,RELU,ADD,ADAM,0.0003244629452195738,1e-05,16,36.199666,,0.08437425206698695
Optuna-tpe,2,completed,0.6749898195266724,3,128,GATED,RELU,ADD,ADAM,0.0012019796947444368,1e-05,32,14.57135,,0.12685951772834056
Optuna-tpe,3,completed,0.5921382904052734,4,128,GATED,RELU,MEAN,ADAM,0.0012161869903035507,1e-05,32,11.545531,,0.14660290236406992
Optuna-tpe,4,completed,0.9820142984390259,4,64,GAT,TANH,ADD,ADAM,0.0013858319302940984,1e-05,16,23.37938,,0.0636768148191455
Optuna-tpe,5,completed,1.3131276369094849,4,64,GAT,TANH,ADD,ADAM,0.0018533056365515757,1e-05,32,8.62097,,0.14302087689546897
Optuna-tpe,6,completed,0.7424671649932861,5,64,GATED,TANH,MEAN,ADAM,0.002455145743907712,1e-05,16,17.91741,,0.10151423653860778
Optuna-tpe,7,completed,0.5487375259399414,5,128,GAT,RELU,MEAN,ADAM,0.0008053083301650819,1e-05,32,26.839284,,0.11931159628302182
Optuna-tpe,8,completed,0.820441722869873,3,128,GAT,RELU,MEAN,ADAM,0.0006863534847771964,1e-05,32,17.692686,,0.15174535967753916
Optuna-tpe,9,completed,0.9796572327613831,3,64,GAT,TANH,ADD,ADAM,0.0004926195900348113,1e-05,32,10.792046,,0.011141210030428061
Optuna-tpe,10,completed,0.7933394908905029,4,64,GAT,RELU,ADD,ADAM,0.0017664539562043716,1e-05,32,18.608949,,0.10889932272104239
Optuna-tpe,11,completed,0.9584167003631592,4,128,GATED,RELU,MEAN,ADAM,0.0023517341891000827,1e-05,16,15.089603,,0.12454498957596188
Optuna-tpe,12,completed,1.058369755744934,4,128,GAT,TANH,ADD,ADAM,0.0005433877604327584,1e-05,32,13.616277,,0.017000824053683417
Optuna-tpe,13,completed,0.6958103179931641,5,128,GAT,RELU,ADD,ADAM,0.0004987008533490077,1e-05,32,28.54366,,0.22206735247908813
Optuna-tpe,14,completed,0.9449144005775452,4,128,GATED,RELU,ADD,ADAM,0.00039233385429822854,1e-05,32,12.191186,,0.02236685647478423
Optuna-tpe,15,completed,0.7392568588256836,4,64,GAT,RELU,ADD,ADAM,0.00031223873868351486,1e-05,32,45.321452,,0.14699976221584074
Optuna-tpe,16,completed,0.5553334355354309,3,64,GAT,RELU,MEAN,ADAM,0.000825756814330513,1e-05,32,47.148252,,0.1312991869014959
Optuna-tpe,17,completed,0.673927366733551,5,128,GAT,RELU,ADD,ADAM,0.00035883499269065736,1e-05,32,48.615737,,0.11505682866310651
Optuna-tpe,18,completed,0.6937724947929382,4,64,GATED,RELU,ADD,ADAM,0.002280903903588032,1e-05,32,10.232221,,0.11494389426216525
Optuna-tpe,19,completed,0.6171317100524902,5,64,GATED,RELU,ADD,ADAM,0.0018054027881055064,1e-05,32,22.751621,,0.006065978010382805
Optuna-tpe,20,completed,0.670848548412323,3,64,GAT,RELU,MEAN,ADAM,0.0008166098965987267,1e-05,16,45.110349,,0.18536751980174043
Optuna-tpe,21,completed,0.8360926508903503,3,64,GATED,TANH,MEAN,ADAM,0.0009092649480289586,1e-05,32,9.473928,,0.0575968420029508
Optuna-tpe,22,completed,1.0063811540603638,3,64,GAT,TANH,MEAN,ADAM,0.0006444810583492661,1e-05,32,20.31494,,0.17709918155334425
Optuna-tpe,23,completed,1.228921890258789,5,64,GATED,TANH,MEAN,ADAM,0.0007405371593011659,1e-05,32,6.826299,,0.04624489340755865
Optuna-tpe,24,completed,0.9829738140106201,5,64,GAT,TANH,MEAN,ADAM,0.0010337760462678005,1e-05,32,20.658136,,0.07219280005950243
Optuna-tpe,25,completed,0.9205406904220581,3,64,GAT,RELU,MEAN,ADAM,0.0005927902451662649,1e-05,32,27.092979,,0.1739351601440059
Optuna-tpe,26,completed,0.9119645357131958,5,128,GATED,TANH,MEAN,ADAM,0.00044248101747625335,1e-05,16,19.852425,,0.08881819980765975
Optuna-tpe,27,completed,0.8940482139587402,3,64,GAT,RELU,MEAN,ADAM,0.0009232774750826035,1e-05,32,17.716658,,0.22095202646412654
Optuna-tpe,28,completed,0.7470449805259705,4,128,GATED,TANH,MEAN,ADAM,0.001071223861306411,1e-05,32,9.681498,,0.03667471693220142
Optuna-tpe,29,completed,0.5983995795249939,5,128,GAT,RELU,MEAN,ADAM,0.0008183313461458939,1e-05,16,76.327767,,0.09869882434983102
Optuna-tpe,30,completed,1.1547725200653076,3,64,GAT,RELU,MEAN,ADAM,0.0006047822489274511,1e-05,32,23.080944,,0.08247170894726566
Optuna-tpe,31,completed,0.6433748602867126,4,128,GATED,RELU,MEAN,ADAM,0.0014192019719620648,1e-05,32,12.545537,,0.19630232096556663
Optuna-tpe,32,completed,0.6286232471466064,4,128,GATED,RELU,MEAN,ADAM,0.0013101869525818381,1e-05,32,11.606006,,0.15681043960676255
