method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout,x
Random,0,completed,0.7430769801139832,4,64,GAT,RELU,ADD,ADAM,0.0016687088354893451,1e-05,16,37.45065244301804,,0.13359876116537314,"[0.6621718826359528, 0.14459390597385224, 0.745581522295122, 0.4306444052471682, 0.17649967938332423, 0.30619094758980636, 0.7452593107363549, 0.9871966823570051, 0.4746636111454924, 0.5343950446614926]"
Random,1,completed,1.019416332244873,4,64,GAT,TANH,ADD,ADAM,0.0003242482791131331,1e-05,16,29.818685130012454,,0.07463265129221197,"[0.5499389470978505, 0.43749981163943064, 0.5104450719083006, 0.8996550598866805, 0.4130393740579149, 0.846551750888159, 0.03375642510614352, 0.11084417988485351, 0.3540130601261109, 0.2985306051688479]"
Random,2,completed,0.9087691307067871,4,64,GAT,TANH,ADD,ADAM,0.002239761110743636,1e-05,16,20.033472213021014,,0.021705480532174026,"[0.43060677888462917, 0.29374770931545924, 0.80617298447217, 0.7330237801063522, 0.27054069975730466, 0.30618580779312543, 0.8730804449455543, 0.6554554042239068, 0.4609211014273594, 0.0868219221286961]"
Random,3,completed,0.7716760635375977,4,128,GATED,RELU,ADD,ADAM,0.00037589482707336627,1e-05,16,30.828574407991255,,0.06775023005157146,"[0.4366118027949192, 0.8232215882365916, 0.2936832251824417, 0.40732056125340377, 0.35736887406330253, 0.8327375067963844, 0.09794509443402621, 0.523485917192129, 0.09131274467648187, 0.27100092020628586]"
Random,4,completed,0.7018881440162659,5,128,GATED,TANH,MEAN,ADAM,0.0009138189306533463,1e-05,32,11.229176755005028,,0.24803561347687827,"[0.9731754960710199, 0.7086539701013188, 0.209191103395713, 0.8594267137079209, 0.902596158015905, 0.4392345017685201, 0.48373889592837627, 0.3073778748733821, 0.8979142847629825, 0.9921424539075131]"
Random,5,completed,1.0031638145446777,5,128,GATED,TANH,MEAN,ADAM,0.00032295117686180534,1e-05,32,11.213716097990982,,0.06979369000959548,"[0.8240574212639418, 0.8294074870420884, 0.4173844783268563, 0.8518386701389248, 0.7456315233011029, 0.0678059328372439, 0.03201561676875431, 0.727958177201933, 0.6962250197617563, 0.27917476003838193]"
Random,6,completed,0.6244956851005554,4,128,GATED,TANH,MEAN,ADAM,0.0011919964451587574,1e-05,16,14.933150297001703,,0.1544870155980376,"[0.4092436221856288, 0.609872691116904, 0.47837633442578986, 0.6377762026108271, 0.9890739683764229, 0.7291794968033993, 0.5991537055081808, 0.08081617610557468, 0.15086838834474636, 0.6179480623921504]"
Random,7,completed,0.5477052330970764,4,128,GATED,RELU,MEAN,ADAM,0.0005174293237324465,1e-05,16,37.0075713180122,,0.07080070270260641,"[0.3790883976819083, 0.8604041677903375, 0.013476112608143964, 0.25765390827473234, 0.9818154326823486, 0.7582478747879559, 0.23672978267655775, 0.7824284069214476, 0.0445783933322107, 0.28320281081042564]"
Random,8,completed,1.8001874685287476,4,64,GAT,TANH,ADD,ADAM,0.0006479800494689994,1e-05,16,16.76609775100951,,0.12671502496154663,"[0.6449160838157345, 0.3500816099576304, 0.869963902801606, 0.7409180637571253, 0.4525455054864924, 0.9686699731884586, 0.3344403799489143, 0.500768095041033, 0.35179609870854567, 0.5068600998461865]"
Random,9,completed,0.7582176327705383,5,128,GATED,RELU,MEAN,ADAM,0.002692385016462555,1e-05,32,14.533307015022729,,0.07630820126697227,"[0.9663222691190181, 0.6332288533686605, 0.36783948883766904, 0.1695823678224263, 0.81601705093378, 0.3702200713243836, 0.9530159102560655, 0.3293289596011003, 0.8906461964157307, 0.3052328050678891]"
Random,10,completed,1.0023311376571655,4,64,GAT,TANH,MEAN,ADAM,0.0009760380682306697,1e-05,16,40.2273341040127,,0.1193295160617748,"[0.35282476635936244, 0.41720568818946435, 0.5813833696953862, 0.5972053505466652, 0.9603782471932507, 0.01258095039495577, 0.5123455019840152, 0.7069084506404223, 0.4341909379514205, 0.4773180642470992]"
Random,11,completed,1.2282100915908813,4,128,GAT,RELU,MEAN,ADAM,0.002535956325996764,1e-05,32,13.761208260984858,,0.12391319363404207,"[0.3347409884612441, 0.6293550940912882, 0.6193580102067728, 0.11478680911251948, 0.8321582721319004, 0.5284630160050012, 0.9270205151753895, 0.5876790826605467, 0.8241991020168826, 0.4956527745361683]"
