method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout,x
Random,0,completed,2.3821640014648438,4,64,GCN,GELU,ADD,RMSPROP,2.8726803488536666e-05,1e-06,64,7.4778723530471325,,0.35825783028851504,"[0.6317465290361852, 0.36828570504892444, 0.18470246733318807, 0.7275467739737337, 0.9807824187452278, 0.513593232508349, 0.1527624345077816, 0.30021267515761707, 0.4203050588744047, 0.7165156605770301]"
Random,1,completed,2.0412564277648926,5,128,GCN,GELU,ADD,RMSPROP,0.00017995879795416604,1e-05,16,13.187487260031048,,0.46208444905416335,"[0.857640813526028, 0.5924992615156678, 0.05445979505302867, 0.5003371022899298, 0.8964183596508666, 0.667375874386634, 0.4183910278688585, 0.365581592980305, 0.005210597929366401, 0.9241688981083267]"
Random,2,completed,4.171812057495117,4,128,GRAPH_SAGE,ELU,ADD,RMSPROP,0.007591307555072188,1e-06,32,2.8310036649927497,,0.10013802822336854,"[0.6273730376108314, 0.5605022448396877, 0.25191730202004026, 0.7916834616970081, 0.9131209511333659, 0.5960984896146422, 0.9601055289455873, 0.25789890153304285, 0.31115903782471244, 0.20027605644673707]"
Random,3,completed,27.120830535888672,4,128,GCN,TANH,MAX,SGD,0.009560752213320936,0.001,16,6.753398447996005,,0.2565431445968277,"[0.5053221803168985, 0.478752348337834, 0.02135983694442989, 0.2932992757102634, 0.3620707496138751, 0.9413198825372747, 0.9934973542330007, 0.7236174560147856, 0.030808982111081518, 0.5130862891936554]"
Random,4,completed,1.3640246391296387,5,256,GAT,GELU,ADD,ADAMW,0.00041232196906975646,0.001,32,8.340848791995086,,0.41823328314634906,"[0.8263769881526859, 0.6797125210470247, 0.5550649685849723, 0.619077331787772, 0.7533077821614483, 0.3443636571320635, 0.5384121584042231, 0.7135185263208351, 0.22193094104239675, 0.8364665662926981]"
Random,5,completed,6.388225078582764,5,128,GRAPH_SAGE,TANH,ADD,RMSPROP,0.00023545988012163197,1e-06,32,6.970023667963687,,0.4952892837904123,"[0.7690621890814618, 0.4857781433277305, 0.23817242432457886, 0.2512442458805928, 0.8714068246963809, 0.5552273038483351, 0.45730563952422154, 0.2575568084073896, 0.37862920778352194, 0.9905785675808246]"
Random,6,completed,30.934465408325195,2,512,GATED,GELU,MAX,RMSPROP,0.004733370121426349,1e-06,64,2.1137672790209763,,0.23956888793415332,"[0.055619149979634686, 0.8826970564957444, 0.6731875023406019, 0.6015275937651917, 0.4118673338760652, 0.6151461217423679, 0.8917234883481532, 0.30326416615068574, 0.4319863132075549, 0.47913777586830664]"
Random,7,completed,1.3114526271820068,3,128,GAT,ELU,ADD,ADAMW,0.0005483485684436061,0.01,64,5.527665346977301,,0.34580157173743703,"[0.4370863119231839, 0.462969299731934, 0.4342129612007596, 0.8603319653558142, 0.8942455911745378, 0.4172174017446332, 0.5796855713361363, 0.8395671554676318, 0.5315776505617796, 0.6916031434748741]"
Random,8,completed,5.765750885009766,3,32,GRAPH_SAGE,TANH,MEAN_MAX,SGD,0.0003156168317116655,0.0001,64,1.6321166019770317,,0.44825011797585085,"[0.4319354373060831, 0.15677949162707971, 0.33400894252712776, 0.49733492554318937, 0.7092270351405108, 0.8336655119136457, 0.4997200519651186, 0.59077198004865, 0.4105682006386202, 0.8965002359517017]"
Random,9,completed,5.502640247344971,2,256,GAT,RELU,MAX,ADAM,9.257483197805974e-05,1e-05,256,0.7642302640015259,,0.24346189829623455,"[0.1316675163587484, 0.6158090049109438, 0.44629708323786266, 0.24109884425340344, 0.2921354743953496, 0.22120269161486672, 0.3221643108280612, 0.33478893346188865, 0.904393043557079, 0.4869237965924691]"
