method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,0,completed,3.6801624298095703,5,512,GAT,TANH,MAX,ADAM,1.1460239317047777e-05,0.001,32,9.330581,,0.10209107766134784
Optuna-tpe,1,completed,3.236389636993408,3,128,GCN,ELU,MAX,SGD,1.3074915913307792e-05,0.001,16,50.73887,,0.00870681340522056
Optuna-tpe,2,completed,1.0626627206802368,3,32,GIN,RELU,ADD,SGD,0.0011780731717531412,0.01,16,18.036244,,0.13955463919588124
Optuna-tpe,3,completed,7.189162254333496,2,512,GATED,ELU,MAX,ADAMW,0.009734848295290064,0.0,16,5.162761,,0.19362742315064574
Optuna-tpe,4,completed,4.033925533294678,4,32,GRAPH_SAGE,ELU,MEAN_MAX,RMSPROP,2.016867765937712e-05,1e-06,64,5.510767,,0.3723660836972364
Optuna-tpe,5,completed,1.9012137651443481,2,512,GATED,ELU,ADD,SGD,1.8259016924689893e-05,0.001,128,8.427488,,0.12810509148123544
Optuna-tpe,6,completed,8.525416374206543,4,128,GATED,RELU,MAX,SGD,0.005009863873755799,0.01,128,0.876906,,0.3974712698656478
Optuna-tpe,7,completed,3.263530969619751,5,256,GCN,RELU,MAX,RMSPROP,2.6323877014695152e-05,0.0001,16,18.097706,,0.048606915292396746
Optuna-tpe,8,completed,2.0328760147094727,5,128,GIN,GELU,ADD,ADAMW,0.008691111179054972,1e-06,32,5.333813,,0.03274990611721251
Optuna-tpe,9,completed,2.5506069660186768,5,256,GATED,GELU,MEAN,SGD,1.5022075945926078e-05,0.01,16,100.30238,,0.010597351474960104
Optuna-tpe,10,completed,6.896230697631836,5,128,GATED,GELU,MAX,ADAM,0.001336749185854966,0.0001,64,1.903046,,0.4637893154817973
Optuna-tpe,11,completed,7.403081893920898,3,256,GCN,RELU,MAX,ADAMW,0.003061096635445491,1e-05,32,3.824712,,0.2818941275734716
Optuna-tpe,12,completed,4.1517534255981445,3,128,GAT,RELU,MEAN_MAX,RMSPROP,0.00021394858777035912,0.0,128,1.297508,,0.0651131737125501
Optuna-tpe,13,completed,4.228962421417236,3,256,GCN,GELU,MEAN_MAX,SGD,1.2710548549417897e-05,1e-05,128,6.211986,,0.11902224536309558
Optuna-tpe,14,completed,12.7391357421875,4,512,GATED,ELU,MEAN_MAX,ADAMW,0.0008365734501651287,0.0001,16,10.310244,,0.20533225157703971
Optuna-tpe,15,completed,13.986628532409668,4,512,GAT,ELU,MAX,ADAM,0.0010859198480773391,1e-06,16,10.539516,,0.47621518467000945
Optuna-tpe,16,completed,1.2822821140289307,4,512,GATED,GELU,ADD,ADAM,3.487401221570097e-05,0.0001,64,8.037661,,0.4445651007987791
Optuna-tpe,17,completed,4.6432952880859375,3,256,GAT,TANH,MEAN_MAX,ADAM,0.00031827454686102696,0.0001,64,3.111477,,0.4518582608056457
Optuna-tpe,18,completed,1.2811826467514038,2,128,GRAPH_SAGE,ELU,ADD,ADAM,0.0001366509898342565,0.01,16,18.207259,,0.3000158913923406
Optuna-tpe,19,completed,6.204822540283203,4,256,GATED,TANH,MEAN_MAX,RMSPROP,0.00012839680462882114,0.0001,128,1.03796,,0.49295186705242205
Optuna-tpe,20,completed,2.5211164951324463,2,64,GRAPH_SAGE,RELU,ADD,SGD,7.569621788613763e-05,0.01,256,0.613963,,0.2767456121292141
Optuna-tpe,21,completed,2.4764063358306885,2,32,GIN,GELU,ADD,ADAM,5.089065906390849e-05,0.01,256,2.00443,,0.32759098053079666
Optuna-tpe,22,completed,2.4424757957458496,2,32,GRAPH_SAGE,GELU,ADD,ADAM,0.0004502773507340466,0.01,64,1.552807,,0.1856151063678968
Optuna-tpe,23,completed,1.2823654413223267,3,64,GIN,RELU,ADD,ADAM,7.848664121898757e-05,0.01,16,17.70934,,0.3384211617993153
Optuna-tpe,24,completed,1.241591215133667,4,32,GRAPH_SAGE,GELU,ADD,ADAM,4.6840948150296644e-05,0.01,64,18.783917,,0.23624734206060885
Optuna-tpe,25,completed,1.89752995967865,2,32,GRAPH_SAGE,ELU,MEAN,ADAM,0.00015852459829530772,0.01,16,55.987984,,0.2369050818378624
Optuna-tpe,26,completed,1.4714205265045166,3,32,GRAPH_SAGE,RELU,ADD,ADAM,0.0006152897209363446,0.01,256,1.104971,,0.15343964163802537
Optuna-tpe,27,completed,1.4488606452941895,4,32,GIN,TANH,ADD,SGD,0.0018146964733236682,0.01,64,2.775885,,0.23262075336183757
Optuna-tpe,28,completed,1.1010960340499878,3,32,GRAPH_SAGE,RELU,ADD,ADAM,0.00010301578162573431,0.01,16,32.639572,,0.2841600772517799
Optuna-tpe,29,completed,1.5323270559310913,3,32,GRAPH_SAGE,RELU,MEAN,ADAM,7.518581305646886e-05,0.01,32,37.055152,,0.09211358763920158
Optuna-tpe,30,completed,1.1456704139709473,3,32,GIN,RELU,ADD,SGD,0.00025683175107489754,0.0,16,12.287852,,0.16720719776377913
Optuna-tpe,31,completed,1.303823471069336,3,32,GIN,RELU,ADD,SGD,0.0002745892019933925,0.0,16,10.926463,,0.17479079339589887
Optuna-tpe,32,completed,1.300558090209961,3,32,GIN,RELU,ADD,SGD,4.275021545637609e-05,0.0,16,24.211546,,0.15250178025609873
Optuna-tpe,33,completed,1.2081007957458496,3,32,GIN,RELU,ADD,SGD,0.0004477138888672895,0.001,16,11.145055,,0.22085616519329238
Optuna-tpe,34,completed,1.1558606624603271,3,32,GIN,RELU,ADD,SGD,0.0004532381027940244,0.001,16,13.842475,,0.08997851620912162
Optuna-tpe,35,completed,1.0200474262237549,3,32,GIN,RELU,ADD,SGD,0.0022444366208207054,0.001,16,19.264366,,0.09600598546849884
Optuna-tpe,36,completed,1.2475985288619995,3,32,GIN,RELU,ADD,SGD,0.0023864049702422003,0.001,16,9.769652,,0.14345343687368076
Optuna-tpe,37,completed,1.4378169775009155,3,64,GIN,RELU,ADD,SGD,0.004392087047191345,0.0,16,6.915151,,0.06944495647449248
Optuna-tpe,38,completed,1.6278146505355835,2,32,GIN,RELU,MEAN,SGD,0.0006857381154105523,0.001,16,13.192853,,0.117243987267315
Optuna-tpe,39,completed,1.089491605758667,3,32,GIN,RELU,ADD,SGD,0.0016816316329359461,0.0,16,14.936078,,0.17002524697253935
Optuna-tpe,40,completed,1.100150227546692,3,32,GIN,RELU,ADD,ADAMW,0.006410903839842625,0.001,16,10.375461,,0.028523261022218374
Optuna-tpe,41,completed,1.3107043504714966,3,32,GIN,RELU,ADD,ADAMW,0.006650416131971503,0.001,16,13.243193,,0.024154854478231978
Optuna-tpe,42,completed,1.0676589012145996,3,32,GIN,RELU,ADD,ADAMW,0.00397678085498722,0.001,16,7.4966,,0.0011203828894383455
Optuna-tpe,43,completed,1.127814769744873,3,32,GIN,RELU,ADD,ADAMW,0.003743078763455594,0.001,16,14.673631,,0.0019074856671286167
Optuna-tpe,44,completed,0.940604567527771,3,32,GIN,RELU,ADD,ADAMW,0.006350807993414994,0.001,32,10.453921,,0.046067567665012826
Optuna-tpe,45,completed,0.9360023736953735,3,32,GIN,RELU,ADD,ADAMW,0.002081346810705708,0.001,32,7.539877,,0.05524367187079515
Optuna-tpe,46,completed,1.4965457916259766,4,32,GCN,RELU,MAX,ADAMW,0.0031726073878517135,0.001,32,11.29712,,0.0545149564066805
Optuna-tpe,47,completed,2.679266929626465,3,64,GIN,TANH,ADD,ADAMW,0.00980058045291387,0.001,32,3.145113,,0.07914298767690713
Optuna-tpe,48,completed,1.3307013511657715,2,512,GIN,RELU,MEAN,ADAMW,0.002317766207710999,1e-05,32,5.490965,,0.04844534553276189
Optuna-tpe,49,completed,0.9220272302627563,3,128,GAT,RELU,ADD,ADAMW,0.0011261217892544917,0.001,32,9.477155,,0.04907227539396094
Optuna-tpe,50,completed,3.963982582092285,4,128,GAT,RELU,MAX,ADAMW,0.0011925046025623868,1e-06,32,5.383094,,0.11772623165593014
Optuna-tpe,51,completed,0.9192147254943848,3,128,GAT,RELU,ADD,ADAMW,0.0025614812686442596,0.001,32,6.854477,,0.043465143073972035
Optuna-tpe,52,completed,0.9279188513755798,3,128,GAT,RELU,ADD,ADAMW,0.002415643368069807,0.001,32,6.858531,,0.043379948191315285
Optuna-tpe,53,completed,0.706354558467865,3,128,GAT,RELU,ADD,ADAMW,0.002478913809262974,0.001,32,17.299577,,0.039884206832747134
Optuna-tpe,54,completed,0.7521905303001404,3,128,GAT,RELU,ADD,ADAMW,0.006107341135758011,0.001,32,19.939673,,0.04185595195487453
Optuna-tpe,55,completed,0.7374603152275085,3,128,GAT,RELU,ADD,ADAMW,0.001579245798313284,0.001,32,16.007833,,0.023612275954495218
Optuna-tpe,56,completed,2.0466771125793457,3,128,GAT,TANH,MEAN_MAX,ADAMW,0.0014562283327106311,0.001,32,12.829022,,0.026867528247241666
Optuna-tpe,57,completed,0.709234893321991,3,128,GAT,ELU,ADD,ADAMW,0.0030732633006639357,0.001,32,21.268925,,0.01856534853115739
Optuna-tpe,58,completed,0.892310380935669,3,128,GAT,ELU,ADD,ADAMW,0.0009392738318907498,0.001,32,19.945128,,0.016846097965887014
Optuna-tpe,59,completed,1.0367908477783203,2,128,GAT,ELU,ADD,RMSPROP,0.0009261499604953763,0.001,32,7.83545,,0.01682458645735284
Optuna-tpe,60,completed,16.610485076904297,4,128,GAT,ELU,MEAN_MAX,ADAMW,0.0054190475593797055,1e-05,32,5.559783,,0.07559636939013933
Optuna-tpe,61,completed,1.1204769611358643,3,128,GAT,ELU,ADD,ADAMW,0.0031574085487610292,0.001,32,5.511573,,0.032704134904718185
Optuna-tpe,62,completed,0.8664620518684387,3,128,GAT,ELU,ADD,ADAMW,0.0014773525977045045,0.001,32,10.75766,,0.01824728017505789
Optuna-tpe,63,completed,0.9452792406082153,3,128,GAT,ELU,ADD,ADAMW,0.0014661210641319883,0.001,32,12.047171,,0.013719708968447061
Optuna-tpe,64,completed,0.9274246692657471,3,128,GAT,ELU,ADD,ADAMW,0.00291766154361344,1e-06,32,17.30682,,0.07155435678936607
Optuna-tpe,65,completed,1.1044920682907104,3,128,GAT,ELU,ADD,ADAMW,0.008036459890301292,0.001,32,9.463445,,0.014202306544245326
Optuna-tpe,66,completed,5.113081932067871,3,128,GAT,ELU,MAX,ADAMW,0.000912386881330255,0.001,32,4.310538,,0.4169626537029766
Optuna-tpe,67,completed,0.8226690292358398,3,128,GAT,ELU,ADD,ADAMW,0.004996970919335797,0.001,128,4.524126,,0.03374757436506411
Optuna-tpe,68,completed,1.2991552352905273,3,128,GAT,ELU,ADD,RMSPROP,0.0051484455174352715,0.001,128,4.132195,,0.0019611638529419863
Optuna-tpe,69,completed,1.734025239944458,2,128,GAT,ELU,MEAN,ADAMW,0.004082758537891918,0.0001,128,2.879272,,0.05881997943032403
Optuna-tpe,70,completed,1.206008791923523,4,128,GAT,ELU,ADD,ADAMW,0.0019717749235407286,0.001,128,4.7732,,0.10216951970776816
Optuna-tpe,71,completed,0.9525318145751953,3,128,GAT,ELU,ADD,ADAMW,0.0029268026315191656,0.001,32,9.453456,,0.037032503474882204
Optuna-tpe,72,completed,0.9494633078575134,3,128,GAT,ELU,ADD,ADAMW,0.001689528788384964,0.001,256,2.340355,,0.018231142297534975
Optuna-tpe,73,completed,0.9439563751220703,3,128,GAT,ELU,ADD,ADAMW,0.0007371616226406832,0.001,32,13.399193,,0.036034256854266256
Optuna-tpe,74,completed,1.4223817586898804,3,128,GAT,ELU,ADD,ADAMW,0.007948423921380812,0.001,128,4.526938,,0.08303200309272449
Optuna-tpe,75,completed,0.9375962615013123,3,128,GAT,GELU,ADD,ADAMW,0.00474714724662898,1e-05,32,10.736068,,0.10418487346688868
Optuna-tpe,76,completed,1.3037580251693726,3,256,GCN,ELU,ADD,ADAMW,0.003577606973654732,0.001,32,4.587361,,0.06070310408509745
Optuna-tpe,77,completed,1.0671119689941406,3,128,GAT,ELU,ADD,ADAMW,0.00269143455764151,1e-06,32,8.15174,,0.025180342566329672
Optuna-tpe,78,completed,11.305685043334961,3,128,GATED,ELU,MEAN_MAX,RMSPROP,0.0013196339208460595,0.001,32,2.720738,,0.07082614475193863
Optuna-tpe,79,completed,1.3799333572387695,3,128,GAT,ELU,ADD,ADAMW,0.0018445924695996263,0.001,128,1.978725,,0.0006112071122176786
Optuna-tpe,80,completed,0.8848873376846313,3,512,GAT,TANH,ADD,ADAMW,0.0005259354271789486,0.0001,32,13.422538,,0.038696661033375275
Optuna-tpe,81,completed,0.9898748397827148,3,512,GAT,TANH,ADD,ADAMW,0.00038525815074791223,0.0001,32,9.519791,,0.039229279706983
Optuna-tpe,82,completed,1.2274179458618164,3,512,GAT,TANH,ADD,ADAMW,0.0006007421919719082,0.0001,32,12.120496,,0.014852946387466984
Optuna-tpe,83,completed,1.204798698425293,3,512,GAT,TANH,ADD,ADAMW,0.000951337612788796,0.0001,256,2.591726,,0.06086278131226111
