method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,48,completed,0.7946790456771851,3,32,GAT,RELU,ADD,ADAM,0.00029843396635629936,0.0001,16,55.087049,,0.10936053391607724
Optuna-tpe,49,completed,1.6276806592941284,2,64,GAT,TANH,MEAN,ADAM,0.00025639747496063165,0.0001,16,56.127759,,0.11406819746882355
Optuna-tpe,50,completed,1.2660940885543823,3,128,GATED,RELU,ADD,ADAM,0.00016957992282708073,0.0001,16,10.548719,,0.2344045102864105
Optuna-tpe,51,completed,0.8188376426696777,3,32,GAT,RELU,ADD,ADAM,0.000689455177503076,0.0001,16,44.381479,,0.09457011087075637
Optuna-tpe,52,completed,0.8231980800628662,3,32,GAT,RELU,ADD,ADAM,0.0007956065019600573,0.0001,16,21.074534,,0.03378863819833248
Optuna-tpe,53,completed,0.8941143155097961,3,32,GAT,RELU,ADD,ADAM,0.00033731753791389096,0.0001,16,39.976638,,0.030555915001234408
Optuna-tpe,54,completed,0.8698275089263916,3,32,GAT,RELU,ADD,ADAM,0.0007475742971609417,0.0001,16,21.063616,,0.09887459442783411
Optuna-tpe,55,completed,1.1408137083053589,4,32,GCN,RELU,ADD,ADAM,0.0011730466252959696,0.0001,16,15.272352,,0.09822393961475914
Optuna-tpe,56,completed,1.0367106199264526,3,32,GRAPH_SAGE,RELU,MAX,ADAM,0.0008638140548317953,1e-05,16,20.545451,,0.023629508134704845
Optuna-tpe,57,completed,1.1228234767913818,3,64,GAT,TANH,ADD,ADAM,0.0017402328845222976,0.0001,16,28.517879,,0.1180222033412556
Optuna-tpe,58,completed,0.9318860769271851,2,32,GAT,RELU,MEAN,ADAM,0.0007149202997826786,0.0001,16,66.24585,,0.07640290117005455
Optuna-tpe,59,completed,0.8934949636459351,3,256,GATED,RELU,ADD,SGD,0.002726457854000665,0.0001,16,15.130788,,0.05268823797177111
Optuna-tpe,60,completed,7.570186138153076,4,128,GAT,GELU,MEAN_MAX,ADAM,0.0011466080237755726,0.001,16,10.962595,,0.2880752476718307
Optuna-tpe,61,completed,0.7902113199234009,3,32,GAT,RELU,ADD,ADAM,0.0003687532477754415,0.0001,16,70.316509,,0.1504059796732159
Optuna-tpe,62,completed,0.8435094356536865,3,32,GAT,RELU,ADD,ADAM,0.0006614529609473959,0.0001,16,52.711162,,0.0784710816654206
Optuna-tpe,63,completed,0.8614013195037842,3,32,GAT,RELU,ADD,ADAM,0.0003968099710854367,0.0001,16,44.165698,,0.08053647415978443
Optuna-tpe,64,completed,1.0553936958312988,3,32,GAT,RELU,ADD,ADAM,0.0009848392349634495,0.0001,16,29.146518,,0.4986562358689727
