method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,0,completed,2.052215576171875,5,64,GIN,RELU,MEAN,ADAMW,0.004183979572176086,1e-05,256,1.846114,,0.4954113404903908
Optuna-tpe,1,completed,1.2142832279205322,5,256,GCN,RELU,ADD,ADAMW,8.954889022082448e-05,0.01,32,12.187557,,0.3378030868350275
Optuna-tpe,2,completed,2.1580889225006104,2,256,GCN,RELU,MEAN,RMSPROP,0.0004501823369663893,0.0001,256,2.682255,,0.20946719834129723
Optuna-tpe,3,completed,1.7322041988372803,3,512,GRAPH_SAGE,ELU,ADD,SGD,0.00016483811223641992,0.0,128,2.794771,,0.1574702775032612
Optuna-tpe,4,completed,7.420985221862793,3,64,GATED,GELU,MEAN_MAX,ADAM,0.008649097990977071,0.01,64,3.209334,,0.2795272234404161
Optuna-tpe,5,completed,8.53945541381836,5,512,GCN,TANH,MEAN_MAX,ADAM,0.00355243684990255,1e-06,256,0.739417,,0.43932769348408757
Optuna-tpe,6,completed,2.268448829650879,5,256,GCN,RELU,MEAN,RMSPROP,8.417856734701712e-05,1e-05,64,6.101324,,0.1921774618892873
Optuna-tpe,7,completed,2.047539710998535,4,32,GCN,GELU,MEAN,RMSPROP,0.0011639439869574526,1e-06,64,4.594299,,0.09335524809889512
Optuna-tpe,8,completed,4.224258899688721,5,512,GRAPH_SAGE,GELU,MEAN,SGD,0.00043213082100375323,0.01,256,1.005588,,0.49601210994923395
Optuna-tpe,9,completed,7.356364727020264,2,128,GATED,RELU,MEAN_MAX,RMSPROP,0.0005815250627966188,1e-05,128,0.682087,,0.4830423375502932
Optuna-tpe,10,completed,1.7012050151824951,2,256,GAT,ELU,ADD,SGD,0.0013747266363983142,1e-06,16,7.613065,,0.33468874458052267
Optuna-tpe,11,completed,3.7690012454986572,2,128,GATED,ELU,MEAN_MAX,RMSPROP,0.00023664164796109613,0.001,16,4.127606,,0.2947969682148386
Optuna-tpe,12,completed,70.51742553710938,4,512,GRAPH_SAGE,TANH,MAX,RMSPROP,0.0005298877889906557,0.0001,128,0.896184,,0.25196860062045073
Optuna-tpe,13,completed,2.804114818572998,3,64,GRAPH_SAGE,GELU,ADD,RMSPROP,1.2974315401171616e-05,1e-05,32,3.646911,,0.40171172005717765
Optuna-tpe,14,completed,0.5880154371261597,5,256,GATED,GELU,MEAN_MAX,SGD,0.007043845905961409,0.0001,16,30.156579,,0.009116573190390442
Optuna-tpe,15,completed,5.175052165985107,4,32,GATED,ELU,MEAN_MAX,ADAMW,4.0897680355531724e-05,0.01,32,5.175268,,0.34192817667284314
Optuna-tpe,16,completed,7.343205451965332,3,512,GRAPH_SAGE,RELU,MEAN_MAX,ADAM,0.004201660717808119,0.0,16,20.450534,,0.4776380794880642
Optuna-tpe,17,completed,2.5991084575653076,4,256,GIN,RELU,MAX,SGD,0.0001400820865783126,1e-06,128,2.951787,,0.06804202834279827
Optuna-tpe,18,completed,1.4498997926712036,3,32,GATED,ELU,MAX,ADAMW,0.001675523805783874,0.0,16,13.837818,,0.06585497534083645
Optuna-tpe,19,completed,1.5468485355377197,2,128,GAT,ELU,ADD,RMSPROP,7.889900383898775e-05,0.01,64,5.545077,,0.3532260031726857
Optuna-tpe,20,completed,1.2531507015228271,5,256,GCN,GELU,ADD,ADAMW,2.364945771103883e-05,0.0001,32,24.060737,,0.13931964058052046
Optuna-tpe,21,completed,1.1378207206726074,5,256,GCN,GELU,ADD,ADAMW,1.8121863052277033e-05,0.0001,32,30.325861,,0.008887450699282335
Optuna-tpe,22,completed,1.1323034763336182,5,256,GCN,GELU,ADD,ADAMW,1.3049882820222321e-05,0.0001,32,36.618026,,0.03904595330784055
Optuna-tpe,23,completed,1.1812433004379272,5,256,GCN,GELU,ADD,ADAMW,1.055846362125031e-05,0.0001,32,37.887338,,0.0010633523415261442
Optuna-tpe,24,completed,1.1866707801818848,4,256,GCN,GELU,ADD,ADAMW,3.296009190210585e-05,0.0001,32,14.011248,,0.0011696847316627866
Optuna-tpe,25,completed,1.2654365301132202,5,256,GAT,GELU,ADD,SGD,1.9219867283096997e-05,0.0001,32,96.771267,,0.03958254950776355
Optuna-tpe,26,completed,1.256767988204956,4,256,GIN,GELU,ADD,ADAMW,4.167186763489536e-05,0.0001,16,12.100769,,0.11326360655589593
Optuna-tpe,27,completed,2.9232542514801025,5,256,GATED,GELU,MEAN_MAX,SGD,1.61311415288903e-05,0.001,32,16.50396,,0.0315792161116545
Optuna-tpe,28,completed,7.0493483543396,5,256,GCN,TANH,MAX,ADAMW,0.009114646064518757,0.0001,16,18.011298,,0.038112126277225766
Optuna-tpe,29,completed,1.0621675252914429,5,64,GIN,GELU,ADD,ADAMW,5.960971620221426e-05,0.0001,32,24.381596,,0.10342947137234088
Optuna-tpe,30,completed,2.302095413208008,4,64,GIN,GELU,MEAN_MAX,ADAMW,2.8281135664795023e-05,0.0001,32,12.924864,,0.09874657986382149
Optuna-tpe,31,completed,1.2791175842285156,5,64,GIN,GELU,ADD,ADAMW,1.6399555659088335e-05,0.0001,32,35.871153,,0.06823804922694175
Optuna-tpe,32,completed,0.9449479579925537,5,64,GIN,GELU,ADD,ADAMW,5.4128031954295784e-05,0.0001,32,26.492898,,0.024421232661100564
Optuna-tpe,33,completed,1.5670994520187378,5,64,GIN,GELU,ADD,ADAMW,5.9977723581251786e-05,0.0001,32,9.713034,,0.16041650830973828
Optuna-tpe,34,completed,1.0282965898513794,5,64,GIN,GELU,ADD,ADAMW,0.00013588793710238076,0.0001,32,14.974443,,0.1293967753523022
Optuna-tpe,35,completed,1.3820585012435913,5,64,GIN,GELU,ADD,SGD,0.0001378132851605225,0.0001,256,6.856013,,0.12363206592489119
Optuna-tpe,36,completed,1.2703979015350342,5,64,GIN,TANH,ADD,ADAM,0.00021929550961791684,0.001,32,7.731395,,0.18821832231745728
Optuna-tpe,37,completed,2.4898831844329834,4,64,GIN,GELU,MEAN,ADAMW,5.176421131940151e-05,0.0001,16,14.765321,,0.22301149118407207
Optuna-tpe,38,completed,2.2697720527648926,5,64,GIN,GELU,MEAN_MAX,SGD,0.00011102656757413245,0.0,32,14.23121,,0.15651495499525622
Optuna-tpe,39,completed,1.3892536163330078,5,64,GIN,GELU,ADD,ADAM,6.500216447096102e-05,0.0001,256,3.016107,,0.07646443499029407
Optuna-tpe,40,completed,1.90120530128479,5,64,GIN,GELU,MEAN,ADAMW,0.0003292909905113385,1e-05,64,5.020517,,0.08796007687439113
Optuna-tpe,41,completed,0.9020580053329468,5,64,GIN,GELU,ADD,ADAMW,0.0009028205859059874,0.0001,32,9.719591,,0.040409754530647046
Optuna-tpe,42,completed,0.886470377445221,5,64,GIN,GELU,ADD,ADAMW,0.00507318320360589,0.0001,32,10.736563,,0.02742077256758453
Optuna-tpe,43,completed,1.0096077919006348,5,64,GIN,GELU,ADD,ADAMW,0.004877488359496699,0.0001,32,6.541531,,0.019916762718686726
Optuna-tpe,44,completed,0.6783605813980103,5,64,GATED,GELU,ADD,ADAMW,0.004891392096475335,0.0001,128,3.981497,,0.021998416770793783
Optuna-tpe,45,completed,0.9796375632286072,4,64,GATED,TANH,ADD,SGD,0.0025808219501252845,1e-06,128,5.589824,,0.05602480481020792
Optuna-tpe,46,completed,8.693389892578125,5,128,GATED,RELU,MEAN_MAX,ADAMW,0.0055799440419268325,0.0001,128,1.116739,,0.052049862244383585
Optuna-tpe,47,completed,0.7664355039596558,4,64,GATED,GELU,MEAN,ADAMW,0.0064772996177094215,0.001,128,3.754448,,0.025763019993707007
Optuna-tpe,48,completed,1.9165982007980347,4,32,GATED,GELU,MEAN,ADAM,0.0066744488544324045,0.001,128,1.955805,,0.017252181282990782
Optuna-tpe,49,completed,1.3802032470703125,3,512,GATED,GELU,MEAN,SGD,0.00299833752038783,0.001,128,5.303683,,0.05257961342364929
Optuna-tpe,50,completed,0.8916383385658264,4,64,GATED,RELU,MEAN,ADAMW,0.0019806133130778098,0.001,128,4.349323,,0.0733876103802277
Optuna-tpe,51,completed,1.6600109338760376,4,64,GATED,RELU,MEAN,ADAMW,0.0009138414173245317,0.001,128,2.06254,,0.0815629124757289
Optuna-tpe,52,completed,0.8818656206130981,4,64,GATED,RELU,MEAN,ADAMW,0.00206050362356948,0.001,128,3.701277,,0.03149012599329724
Optuna-tpe,53,completed,0.5920342206954956,4,64,GATED,RELU,MEAN,ADAMW,0.002112280095066891,0.001,128,6.17155,,0.0188545213359898
Optuna-tpe,54,completed,1.0363236665725708,4,64,GATED,RELU,MEAN,ADAMW,0.007176893116446297,0.001,128,3.432371,,0.0005689777825486735
Optuna-tpe,55,completed,1.5272281169891357,3,32,GATED,RELU,MEAN,RMSPROP,0.0035182874338774463,0.001,128,2.79607,,0.02286528052087617
Optuna-tpe,56,completed,1.3175773620605469,4,128,GATED,RELU,MEAN,ADAMW,0.002242835225914422,0.001,128,2.063067,,0.05044867206018076
Optuna-tpe,57,completed,2.4770007133483887,4,512,GATED,RELU,MEAN,ADAMW,0.003917997763783711,0.01,128,4.776934,,0.019932468222126958
Optuna-tpe,58,completed,1.09474778175354,4,64,GATED,RELU,MEAN,SGD,0.007193074092593758,0.001,128,4.313178,,0.2867595092357054
Optuna-tpe,59,completed,0.9656927585601807,3,64,GAT,ELU,MAX,ADAMW,0.001473800565307692,1e-05,128,8.054256,,4.095712242236857e-05
Optuna-tpe,60,completed,2.0407917499542236,4,64,GRAPH_SAGE,RELU,MEAN,RMSPROP,0.009731681421697932,0.001,16,19.294509,,0.09572287366644797
